fold,platform,calm_weight,auroc_esm2_650m,auroc_calm,auroc_combo,n_test,n_test_cases,n_test_controls,pair_id,Gene,DMS_dataset,CBGE_dataset
1,DMS,0.0,0.8061008758683177,0.4708547266686801,0.8061008758683177,120,43,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
1,CBGE,0.03,0.8455555555555556,0.4788888888888888,0.845,120,60,60,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
2,DMS,0.0,0.8085170643310178,0.5952884324977349,0.8085170643310178,120,43,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
2,CBGE,0.03,0.8052777777777778,0.5027777777777778,0.8047222222222222,120,60,60,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
3,DMS,0.0,0.8039867109634552,0.5240108728480821,0.8039867109634552,120,43,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
3,CBGE,0.03,0.9072222222222222,0.5594444444444444,0.9058333333333333,120,60,60,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
4,DMS,0.0,0.8508003624282694,0.46934460887949264,0.8508003624282694,120,43,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
4,CBGE,0.03,0.8591666666666667,0.5547222222222222,0.8586111111111111,120,60,60,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
5,DMS,0.0,0.8483841739655693,0.37209302325581395,0.8483841739655693,120,43,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
5,CBGE,0.08,0.8719444444444445,0.4477777777777778,0.8699999999999999,120,60,60,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
6,DMS,0.0,0.7956091527520099,0.5006184291898579,0.7956091527520099,119,42,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
6,CBGE,0.03,0.8234463276836158,0.4912429378531073,0.8225988700564971,119,60,59,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
7,DMS,0.0,0.8478664192949907,0.5377241805813234,0.8478664192949907,119,42,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
7,CBGE,0.03,0.8353107344632767,0.5819209039548023,0.8347457627118644,119,60,59,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
8,DMS,0.0,0.8082869511440941,0.4424860853432282,0.8082869511440941,119,42,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
8,CBGE,0.03,0.8392655367231637,0.5135593220338983,0.8392655367231638,119,60,59,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
9,DMS,0.01,0.7965367965367965,0.3889919604205318,0.7956091527520098,119,42,77,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
9,CBGE,0.08,0.8227812323346524,0.4358394573205201,0.8222159412097231,119,61,58,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
10,DMS,0.0,0.8873929008567931,0.48959608323133413,0.8873929008567931,119,43,76,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
10,CBGE,0.03,0.8754237288135593,0.5025423728813558,0.8748587570621469,119,60,59,TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983
1,DMS,0.385,0.6754385964912281,0.6900584795321637,0.7032163742690059,74,38,36,HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691
1,CBGE,0.46,0.375,0.3680555555555556,0.3888888888888889,74,2,72,HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691
2,DMS,0.535,0.6827838827838828,0.6761904761904762,0.6981684981684981,74,39,35,HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691
2,CBGE,0.3,0.6948356807511737,0.6807511737089202,0.6995305164319249,74,3,71,HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691
1,DMS,0.0,0.7427536231884059,0.7545289855072463,0.7427536231884059,70,24,46,HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691
1,CBGE,0.275,0.5735294117647058,0.5441176470588236,0.5661764705882353,70,2,68,HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691
2,DMS,0.675,0.8991674375578168,0.7733580018501388,0.8297872340425533,70,23,47,HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691
2,CBGE,0.0,0.5373134328358209,0.5671641791044776,0.5373134328358209,70,3,67,HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691
1,DMS,0.16,0.47560975609756095,0.4416376306620209,0.46341463414634143,69,41,28,HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691
1,CBGE,0.8300000000000001,0.3955223880597015,0.25373134328358204,0.29104477611940294,69,2,67,HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691
2,DMS,0.005,0.5853448275862069,0.5508620689655173,0.5853448275862069,69,40,29,HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691
2,CBGE,0.0,0.6818181818181818,0.803030303030303,0.6818181818181818,69,3,66,HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691
1,DMS,0.49,0.7086148648648649,0.7212837837837838,0.7390202702702704,69,32,37,HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691
1,CBGE,0.0,0.49253731343283585,0.6343283582089552,0.49253731343283585,69,2,67,HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691
2,DMS,0.605,0.7190152801358234,0.701188455008489,0.7258064516129031,69,31,38,HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691
2,CBGE,0.995,0.6111111111111112,0.4898989898989899,0.4898989898989899,69,3,66,HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691
1,DMS,0.0,0.8272727272727273,0.6727272727272727,0.8272727272727273,32,10,22,PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481
1,CBGE,0.0,0.6551724137931034,0.5862068965517241,0.6551724137931034,32,3,29,PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481
2,DMS,0.585,0.580952380952381,0.49523809523809526,0.5333333333333333,31,10,21,PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481
2,CBGE,0.81,0.6904761904761905,0.45238095238095233,0.5119047619047619,31,3,28,PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481
1,DMS,0.405,1.0,0.5,1.0,10,2,8,ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537
1,CBGE,0.615,0.5416666666666667,0.5833333333333333,0.625,10,4,6,ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537
2,DMS,0.405,0.625,0.75,0.6875,10,2,8,ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537
2,CBGE,0.54,0.625,0.5416666666666667,0.5833333333333334,10,4,6,ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537
3,DMS,0.55,1.0,0.5714285714285714,1.0,10,3,7,ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537
3,CBGE,0.03,0.6,0.64,0.6,10,5,5,ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537
4,DMS,0.125,0.9047619047619048,0.9047619047619048,0.9523809523809524,10,3,7,ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537
4,CBGE,0.535,0.68,0.76,0.72,10,5,5,ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537
