pair_id,Gene,n_variants,delta_150m,dms_w_150m,cbge_w_150m,delta_650m,dms_w_650m,cbge_w_650m,delta_150m_minus_650m
BRCA1|dataset0153|dataset0154,BRCA1,488,0.014,0.016,0.03,,,,
BRCA1|dataset0155|dataset0154,BRCA1,123,0.1629999999999999,0.2045,0.3675,,,,
BRCA1|dataset0163|dataset0154,BRCA1,564,0.1545,0.0955,0.25,,,,
BRCA1|dataset0163|dataset0156,BRCA1,39,-0.11,0.245,0.135,,,,
ETS1|dataset0541|dataset0537,ETS1,59,0.1508333333333333,0.1324999999999999,0.2833333333333334,0.0933333333333333,0.3983333333333334,0.4916666666666667,0.057499999999999996
ETS1|dataset0541|dataset0538,ETS1,59,-0.025,0.1629999999999999,0.1379999999999999,0.156,0.377,0.533,-0.181
ETS1|dataset0541|dataset0539,ETS1,58,-0.1683333333333333,0.1883333333333333,0.02,-0.295,0.315,0.02,0.12666666666666668
FYN|dataset0631|dataset0627,FYN,32,0.1675,0.0675,0.235,-0.1324999999999999,0.145,0.0125,0.29999999999999993
FYN|dataset0631|dataset0629,FYN,33,0.0849999999999999,0.0675,0.1525,0.21,0.21,0.42,-0.1250000000000001
GRB2|dataset0654|dataset0650,GRB2,59,0.662,0.148,0.8099999999999999,0.6990000000000001,0.214,0.913,-0.03700000000000003
GRB2|dataset0654|dataset0652,GRB2,54,0.5466666666666667,0.1316666666666666,0.6783333333333332,0.3816666666666666,0.2191666666666667,0.6008333333333333,0.16500000000000015
HRAS|dataset0685|dataset0691,HRAS,140,0.2025,0.2925,0.495,-0.2,0.3375,0.1375,0.4025
HRAS|dataset0686|dataset0691,HRAS,138,-0.0074999999999999,0.505,0.4975,0.3325,0.0825,0.415,-0.3399999999999999
HRAS|dataset0687|dataset0691,HRAS,138,0.445,0.06,0.505,-0.0499999999999999,0.5475,0.4975,0.4949999999999999
HRAS|dataset0688|dataset0691,HRAS,148,0.6675,0.2375,0.905,-0.08,0.46,0.38,0.7474999999999999
ITK|dataset0812|dataset0810,ITK,45,-0.1325,0.5399999999999999,0.4075,-0.0016666666666666,0.4458333333333333,0.4441666666666666,-0.1308333333333334
LCK|dataset0914|dataset0910,LCK,37,0.2966666666666666,0.1916666666666666,0.4883333333333333,-0.0766666666666666,0.2616666666666666,0.185,0.3733333333333332
LCK|dataset0914|dataset0912,LCK,43,0.0849999999999999,0.04,0.125,0.2299999999999999,0.12,0.35,-0.14500000000000002
LCK|dataset0914|dataset0913,LCK,45,0.265,0.16,0.425,-0.11,0.12,0.01,0.375
LCP1|dataset0920|dataset0918,LCP1,48,0.3975,0.0725,0.47,0.305,0.0824999999999999,0.3875,0.09250000000000003
PTEN|dataset1476|dataset1481,PTEN,51,-0.0028571428571428,0.0407142857142857,0.0378571428571428,-0.2185714285714285,0.2185714285714285,0.0,0.2157142857142857
PTEN|dataset1477|dataset1481,PTEN,63,-0.0975,0.0975,0.0,0.1125,0.2925,0.405,-0.21000000000000002
RASGRP1|dataset1562|dataset1558,RASGRP1,27,0.0366666666666666,0.8716666666666667,0.9083333333333332,0.0716666666666666,0.6266666666666666,0.6983333333333333,-0.035
RASGRP1|dataset1562|dataset1559,RASGRP1,27,0.15875,0.77625,0.935,0.3524999999999999,0.605,0.9575,-0.19374999999999992
RASGRP1|dataset1562|dataset1560,RASGRP1,26,0.09,0.6525,0.7425,0.305,0.53625,0.84125,-0.215
RASGRP1|dataset1562|dataset1561,RASGRP1,26,0.32,0.605,0.925,0.18375,0.525,0.70875,0.13625
TP53|dataset1982|dataset1983,TP53,1195,0.02,0.0,0.02,0.039,0.001,0.04,-0.019
VAV1|dataset2065|dataset2061,VAV1,45,0.055,0.0966666666666666,0.1516666666666666,0.3899999999999999,0.2483333333333333,0.6383333333333333,-0.3349999999999999
VAV1|dataset2065|dataset2062,VAV1,37,0.61875,0.1425,0.7612500000000001,0.6275,0.2075,0.835,-0.008749999999999925
VAV1|dataset2065|dataset2063,VAV1,20,0.6775,0.0,0.6775,0.5325,0.0,0.5325,0.14500000000000002
VAV1|dataset2065|dataset2064,VAV1,46,0.3724999999999999,0.30125,0.67375,0.6712499999999999,0.315,0.98625,-0.29875
