pair_id,Gene,DMS_dataset,CBGE_dataset,n_variants,label_concordance,mean_auroc_calm_CBGE,mean_auroc_calm_DMS,mean_auroc_combo_CBGE,mean_auroc_combo_DMS,mean_auroc_esm2_150m_CBGE,mean_auroc_esm2_150m_DMS,mean_calm_weight_CBGE,mean_calm_weight_DMS,paired_folds,delta_CBGE_minus_DMS,p_wilcoxon
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,1195,0.7765690376569038,0.5068716105154795,0.479100840291608,0.7958035629309547,0.7911111401275766,0.7960286419492857,0.7911111401275766,0.02,0.0,10,0.02,0.001953125
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,564,0.1879432624113475,0.7799002849002848,0.3228669965512071,0.8051965164465165,0.32352676563202876,0.8072280497280497,0.3317139001349528,0.25000000000000006,0.0955,10,0.1545,0.083984375
BRCA1|dataset0153|dataset0154,BRCA1,dataset0153,dataset0154,488,0.8504098360655737,0.7686333462649252,0.725800924221977,0.7979783611362559,0.7563552529342003,0.7984773050562524,0.7563937962622174,0.030000000000000006,0.016,10,0.014000000000000002,0.625
HRAS|dataset0688|dataset0691,HRAS,dataset0688,dataset0691,148,0.4864864864864865,0.5244033646322379,0.6831244778613199,0.5035700312989045,0.712403605166763,0.44312402190923317,0.705446308077887,0.905,0.2375,2,0.6675,0.5
HRAS|dataset0685|dataset0691,HRAS,dataset0685,dataset0691,140,0.6571428571428571,0.5556409130816506,0.7639434936786926,0.4835016095990635,0.7956656645081714,0.5129133743049459,0.8127794480419365,0.495,0.2925,2,0.2025,1.0
HRAS|dataset0686|dataset0691,HRAS,dataset0686,dataset0691,138,0.4057971014492754,0.5283808231569425,0.4962498498137691,0.46524951002562936,0.47254295326204493,0.47271219659279357,0.48562267211342064,0.4975,0.505,2,-0.0074999999999999945,1.0
HRAS|dataset0687|dataset0691,HRAS,dataset0687,dataset0691,138,0.5362318840579711,0.5621136740539725,0.7112361193961364,0.46883009196442027,0.7827355687606112,0.4789311020654304,0.7835866161152664,0.505,0.060000000000000005,2,0.445,0.5
BRCA1|dataset0155|dataset0154,BRCA1,dataset0155,dataset0154,123,0.8943089430894309,0.8348148148148148,0.8004545454545454,0.8596296296296296,0.7963636363636364,0.8640740740740741,0.8150000000000001,0.36750000000000005,0.2045,10,0.16299999999999998,0.009765625
PTEN|dataset1477|dataset1481,PTEN,dataset1477,dataset1481,63,0.6507936507936508,0.5192939244663382,0.583982683982684,0.6358784893267653,0.7176406926406926,0.6358784893267653,0.7366883116883116,0.0,0.0975,2,-0.0975,0.31731050786291415
ETS1|dataset0541|dataset0537,ETS1,dataset0541,dataset0537,59,0.6271186440677966,0.5736111111111112,0.7242063492063492,0.6983333333333333,0.9697420634920636,0.7214814814814815,0.9578373015873017,0.2833333333333334,0.13249999999999998,6,0.15083333333333335,0.0625
ETS1|dataset0541|dataset0538,ETS1,dataset0541,dataset0538,59,0.6949152542372882,0.5003703703703705,0.7092592592592593,0.705925925925926,0.9481481481481481,0.7033333333333334,0.9481481481481481,0.13799999999999998,0.16299999999999998,5,-0.025,0.8125
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,59,0.7288135593220338,0.7866666666666666,0.8145833333333334,0.7866666666666666,0.81875,0.7448148148148148,0.8375,0.8099999999999999,0.148,5,0.662,0.0625
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,58,0.6379310344827587,0.505925925925926,0.7111111111111111,0.725925925925926,0.9444444444444445,0.7296296296296297,0.9444444444444445,0.02,0.18833333333333332,3,-0.16833333333333333,0.17971249487899976
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,54,0.6481481481481481,0.7333333333333333,0.8240740740740741,0.725,0.8981481481481483,0.7083333333333334,0.8981481481481483,0.6783333333333332,0.13166666666666668,6,0.5466666666666667,0.03125
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,51,0.6274509803921569,0.41836734693877553,0.4904761904761905,0.46258503401360546,0.5809523809523809,0.48299319727891155,0.5809523809523809,0.03785714285714286,0.04071428571428572,7,-0.0028571428571428615,1.0
LCP1|dataset0920|dataset0918,LCP1,dataset0920,dataset0918,48,0.75,0.42631578947368426,0.8888888888888888,0.368421052631579,0.9047619047619048,0.5210526315789474,0.9047619047619048,0.47000000000000003,0.0725,2,0.3975,0.31731050786291415
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,46,0.6956521739130435,0.8100611772486772,0.9271825396825397,0.77323082010582,0.9718253968253968,0.7646329365079365,0.9787698412698413,0.67375,0.30125,4,0.37249999999999994,0.25
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,45,0.6222222222222222,0.5515873015873016,0.9861111111111112,0.5277777777777778,0.9861111111111112,0.5555555555555555,0.9722222222222223,0.40750000000000003,0.5399999999999999,6,-0.13250000000000003,0.4375
LCK|dataset0914|dataset0913,LCK,dataset0914,dataset0913,45,0.5333333333333333,0.4444444444444444,0.8270833333333334,0.4222222222222222,0.8925595238095239,0.4708333333333333,0.8922619047619047,0.42500000000000004,0.16,2,0.265,1.0
