pair_id,Gene,DMS_dataset,CBGE_dataset,model_short,platform,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,1,0.0,2.6991947850276357,0.9950426849958923,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,2,0.0,2.692337514761873,0.9969118320472566,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,3,0.0,2.632857239003617,0.9965747686633794,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,4,0.0,2.6634508284594345,0.9836659576643212,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,5,0.0,2.6811778599637583,0.9921792913913393,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,6,0.0,2.6622474470600554,1.010623651967538,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,7,0.0,2.6958978437922037,0.9963210098900835,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,8,0.0,2.6845731452085833,0.9885033238941447,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,9,0.0,2.6781000543495126,1.0087802023298524,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,DMS,10,0.0,2.683001492395902,1.0137016252242292,0.0
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,1,0.03,2.6991947850276357,0.9950426849958923,0.011272843258299354
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,2,0.035,2.692337514761873,0.9969118320472566,0.013251783408913772
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,3,0.015,2.632857239003617,0.9965747686633794,0.005731145579071023
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,4,0.015,2.6634508284594345,0.9836659576643212,0.0055927098206399505
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,5,0.03,2.6811778599637583,0.9921792913913393,0.011315449274587183
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,6,0.015,2.6622474470600554,1.010623651967538,0.00574768130762039
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,7,0.015,2.6958978437922037,0.9963210098900835,0.0055964618379239555
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,8,0.015,2.6845731452085833,0.9885033238941447,0.0055760862238412425
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,9,0.015,2.6781000543495126,1.0087802023298524,0.005703490147832231
TP53|dataset1982|dataset1983,TP53,dataset1982,dataset1983,150M,CBGE,10,0.015,2.683001492395902,1.0137016252242292,0.005720745597742328
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,1,0.0,2.340832348080152,2.1782066810113774,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,2,0.0,2.3442673601457553,2.163747108943223,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,3,0.0,2.3462315982095183,2.1682900508109118,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,4,0.0,2.3087685490873295,2.167907519776205,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,5,0.0,2.3451882439276703,2.229568380778035,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,6,0.0,2.391504794343565,2.2378872725608776,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,7,0.0,2.3767981247422134,2.22653868268828,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,8,0.955,2.382212323260291,2.219175189451517,0.9518531401292676
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,9,0.0,2.351288661717988,2.1859000454524473,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,DMS,10,0.0,2.3885119301804827,2.210636277615668,0.0
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,CBGE,1,0.14,2.340832348080152,2.1782066810113774,0.13155324273169644
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,CBGE,2,0.155,2.3442673601457553,2.163747108943223,0.1447924381792825
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,CBGE,3,0.405,2.3462315982095183,2.1682900508109118,0.3861449656181541
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,CBGE,4,0.135,2.3087685490873295,2.167907519776205,0.12781623316852544
BRCA1|dataset0163|dataset0154,BRCA1,dataset0163,dataset0154,150M,CBGE,5,0.41,2.3451882439276703,2.229568380778035,0.3978280797158207
