assay,case_class,fold,split_type,optimizer,score_scaling,n_train,n_test,n_test_genes,n_test_cases,n_test_controls,calm_weight,esm1b_650m_weight,auroc_esm1b_650m,auroc_calm,auroc_esm1b_650m_calm,delta_combo_vs_esm1b_650m,delta_combo_vs_calm
DMS,lof,1,stratified_gene,grid,raw,152876,13794,23,3449,10345,0.49,0.51,0.6882875108551998,0.7271197050552685,0.7246890371485013,0.03640152629330151,-0.002430667906767159
DMS,lof,2,stratified_gene,grid,raw,149723,16947,33,4926,12021,0.48,0.52,0.7371506160740561,0.7445834993795369,0.7700878922705404,0.032937276196484344,0.02550439289100348
DMS,lof,3,stratified_gene,grid,raw,155816,10854,30,3830,7024,0.47000000000000003,0.53,0.6606941251776826,0.7110414423951896,0.6987222845060872,0.03802815932840464,-0.012319157889102428
DMS,lof,4,stratified_gene,grid,raw,150690,15980,32,4829,11151,0.51,0.49,0.6485327851105234,0.5973488351388818,0.6496647732507351,0.0011319881402117593,0.05231593811185331
DMS,lof,5,stratified_gene,grid,raw,151221,15449,29,5329,10120,0.46,0.54,0.7009783795430625,0.7516034829188043,0.7592997744461841,0.058321394903121604,0.007696291527379828
DMS,lof,6,stratified_gene,grid,raw,156830,9840,28,3383,6457,0.5,0.5,0.6837978988401912,0.6759089931707202,0.711308274557933,0.027510375717741842,0.03539928138721282
DMS,lof,7,stratified_gene,grid,raw,149768,16902,32,4591,12311,0.5,0.5,0.7100364436881156,0.6818430588600268,0.7207766531237433,0.010740209435627701,0.03893359426371645
DMS,lof,8,stratified_gene,grid,raw,143346,23324,33,5548,17776,0.55,0.44999999999999996,0.7584190477897825,0.6142612391195861,0.7380965306786628,-0.020322517111119764,0.12383529155907669
DMS,lof,9,stratified_gene,grid,raw,145296,21374,35,5574,15800,0.51,0.49,0.7308445744936937,0.6941749896672162,0.7514583304946564,0.020613756000962713,0.05728334082744013
DMS,lof,10,stratified_gene,grid,raw,144464,22206,36,7799,14407,0.53,0.47,0.708119031087816,0.6376462169302255,0.7075839928470042,-0.0005350382408118026,0.06993777591677874
DMS,gof,1,stratified_gene,grid,raw,107621,11210,31,3,11207,1.0,0.0,0.46081318223729206,0.5650635019779304,0.5650635019779304,0.10425031974063836,0.0
DMS,gof,2,stratified_gene,grid,raw,104962,13869,33,0,13869,1.0,0.0,,,,,
DMS,gof,3,stratified_gene,grid,raw,105411,13420,32,744,12676,0.85,0.15000000000000002,0.49641615940037387,0.43819812735607383,0.44439093265743074,-0.05202522674294313,0.006192805301356907
DMS,gof,4,stratified_gene,grid,raw,109879,8952,33,0,8952,1.0,0.0,,,,,
DMS,gof,5,stratified_gene,grid,raw,109172,9659,33,0,9659,1.0,0.0,,,,,
DMS,gof,6,stratified_gene,grid,raw,109809,9022,23,0,9022,1.0,0.0,,,,,
DMS,gof,7,stratified_gene,grid,raw,106630,12201,32,31,12170,1.0,0.0,0.3394465502160256,0.37528560447424925,0.37528560447424925,0.035839054258223646,0.0
DMS,gof,8,stratified_gene,grid,raw,104505,14326,33,50,14276,1.0,0.0,0.6597702437657607,0.5605673858223592,0.5605673858223592,-0.09920285794340145,0.0
DMS,gof,9,stratified_gene,grid,raw,103842,14989,28,0,14989,1.0,0.0,,,,,
DMS,gof,10,stratified_gene,grid,raw,107648,11183,33,591,10592,0.0,1.0,0.775824170206675,0.8589182015223314,0.775824170206675,0.0,-0.0830940313156564
CBGE,lof,1,stratified_gene,grid,raw,83028,5144,25,492,4652,0.32,0.6799999999999999,0.5698473512572615,0.5710761697040874,0.5769176995295319,0.007070348272270377,0.0058415298254445025
CBGE,lof,2,stratified_gene,grid,raw,82252,5920,27,437,5483,0.29,0.71,0.5413074153478757,0.6161061170557967,0.5612358732274627,0.01992845787958697,-0.05487024382833394
CBGE,lof,3,stratified_gene,grid,raw,76211,11961,33,909,11052,0.37,0.63,0.7369967633752156,0.642260688247616,0.7336784167016049,-0.0033183466736106393,0.09141772845398899
CBGE,lof,4,stratified_gene,grid,raw,79869,8303,32,958,7345,0.48,0.52,0.7370560121423831,0.48559029973665924,0.7058166619531558,-0.0312393501892273,0.2202263622164966
CBGE,lof,5,stratified_gene,grid,raw,77448,10724,32,870,9854,0.26,0.74,0.8089688766333294,0.8275235682341497,0.8288794561517698,0.01991057951844044,0.001355887917620091
CBGE,lof,6,stratified_gene,grid,raw,79691,8481,35,282,8199,0.31,0.69,0.6675615171890016,0.6856652644890961,0.6867932346013482,0.01923171741234664,0.0011279701122520747
CBGE,lof,7,stratified_gene,grid,raw,82209,5963,22,79,5884,0.35000000000000003,0.6499999999999999,0.5539996902133226,0.5484880689103253,0.5552173239594179,0.0012176337460952924,0.006729255049092608
CBGE,lof,8,stratified_gene,grid,raw,78959,9213,34,412,8801,0.32,0.6799999999999999,0.7299443576027878,0.7119411077514359,0.7443637803735896,0.014419422770801882,0.0324226726221537
CBGE,lof,9,stratified_gene,grid,raw,74096,14076,34,1054,13022,0.34,0.6599999999999999,0.8038686246046319,0.7348499707253554,0.8086501984526551,0.004781573848023135,0.07380022772729966
CBGE,lof,10,stratified_gene,grid,raw,79785,8387,34,157,8230,0.33,0.6699999999999999,0.6333175967990341,0.6017970606217736,0.6382513872657901,0.004933790466756016,0.03645432664401649
CBGE,gof,1,stratified_gene,grid,raw,78706,5886,24,137,5749,0.15,0.85,0.5046856768489094,0.5025920090196582,0.5032877821976021,-0.001397894651307352,0.0006957731779438925
CBGE,gof,2,stratified_gene,grid,raw,77115,7477,32,91,7386,0.1,0.9,0.5220672909543747,0.5893165864733697,0.5260174431579793,0.003950152203604618,-0.06329914331539044
CBGE,gof,3,stratified_gene,grid,raw,79578,5014,24,131,4883,0.04,0.96,0.6736191772984009,0.652020641796668,0.6748182274380816,0.0011990501396806907,0.022797585641413654
CBGE,gof,4,stratified_gene,grid,raw,76125,8467,33,169,8298,0.06,0.94,0.48836320436520675,0.5193751684657741,0.4891861017340744,0.0008228973688676477,-0.030189066731699743
CBGE,gof,5,stratified_gene,grid,raw,76756,7836,33,189,7647,0.18,0.8200000000000001,0.6342522537108648,0.5332976309829978,0.6315932588980843,-0.002658994812780535,0.0982956279150865
CBGE,gof,6,stratified_gene,grid,raw,70809,13783,33,578,13205,0.47000000000000003,0.53,0.8014136277938131,0.6241922360854715,0.7875060432440789,-0.013907584549734175,0.16331380715860744
CBGE,gof,7,stratified_gene,grid,raw,75558,9034,33,157,8877,0.1,0.9,0.42364760000258306,0.4928890161291365,0.4244289794925554,0.000781379489972367,-0.06846003663658107
CBGE,gof,8,stratified_gene,grid,raw,76826,7766,32,205,7561,0.08,0.92,0.6075567498169361,0.597562588507779,0.6086702946119529,0.0011135447950167965,0.011107706104173887
CBGE,gof,9,stratified_gene,grid,raw,76040,8552,32,228,8324,0.0,1.0,0.628496020806461,0.6231089346383739,0.628496020806461,0.0,0.005387086168087141
CBGE,gof,10,stratified_gene,grid,raw,73815,10777,32,185,10592,0.15,0.85,0.7093364701559566,0.5760517881930269,0.7078437576549359,-0.0014927125010206765,0.13179196946190896
