assay,case_class,fold,split_type,optimizer,score_scaling,n_train,n_test,n_test_genes,n_test_cases,n_test_controls,calm_weight,esm2_650m_weight,auroc_esm2_650m,auroc_calm,auroc_esm2_650m_calm,delta_combo_vs_esm2_650m,delta_combo_vs_calm
DMS,lof,1,stratified_gene,grid,raw,152876,13794,23,3449,10345,0.32,0.6799999999999999,0.6395815095359699,0.7271197050552685,0.6824865705219787,0.04290506098600877,-0.044633134533289764
DMS,lof,2,stratified_gene,grid,raw,149723,16947,33,4926,12021,0.35000000000000003,0.6499999999999999,0.7763193660654013,0.7445834993795369,0.794502569481618,0.01818320341621671,0.049919070102081076
DMS,lof,3,stratified_gene,grid,raw,155816,10854,30,3830,7024,0.35000000000000003,0.6499999999999999,0.7498307184022552,0.7110414423951896,0.7643394226137019,0.014508704211446677,0.053297980218512286
DMS,lof,4,stratified_gene,grid,raw,150690,15980,32,4829,11151,0.39,0.61,0.7367885365259984,0.5973488351388818,0.7274678870756244,-0.00932064945037403,0.13011905193674256
DMS,lof,5,stratified_gene,grid,raw,151221,15449,29,5329,10120,0.34,0.6599999999999999,0.7675121844304821,0.7516034829188043,0.786737420794712,0.019225236364229903,0.035133937875907684
DMS,lof,6,stratified_gene,grid,raw,156830,9840,28,3383,6457,0.36,0.64,0.7343201215929422,0.6759089931707202,0.7509852462670467,0.016665124674104415,0.07507625309632648
DMS,lof,7,stratified_gene,grid,raw,149768,16902,32,4591,12311,0.35000000000000003,0.6499999999999999,0.7259253177483764,0.6818430588600268,0.7449721204786266,0.019046802730250167,0.06312906161859977
DMS,lof,8,stratified_gene,grid,raw,143346,23324,33,5548,17776,0.39,0.61,0.7552788167920974,0.6142612391195861,0.7470923101682914,-0.008186506623806045,0.13283107104870528
DMS,lof,9,stratified_gene,grid,raw,145296,21374,35,5574,15800,0.37,0.63,0.7588248672634702,0.6941749896672162,0.7673337784378648,0.008508911174394562,0.07315878877064852
DMS,lof,10,stratified_gene,grid,raw,144464,22206,36,7799,14407,0.37,0.63,0.7016175070115802,0.6376462169302255,0.7030979378969204,0.0014804308853402226,0.06545172096669494
DMS,gof,1,stratified_gene,grid,raw,107621,11210,31,3,11207,1.0,0.0,0.46542339609172834,0.5650635019779304,0.5650635019779304,0.09964010588620209,0.0
DMS,gof,2,stratified_gene,grid,raw,104962,13869,33,0,13869,1.0,0.0,,,,,
DMS,gof,3,stratified_gene,grid,raw,105411,13420,32,744,12676,1.0,0.0,0.3900766455616744,0.43819812735607383,0.43819812735607383,0.04812148179439946,0.0
DMS,gof,4,stratified_gene,grid,raw,109879,8952,33,0,8952,1.0,0.0,,,,,
DMS,gof,5,stratified_gene,grid,raw,109172,9659,33,0,9659,1.0,0.0,,,,,
DMS,gof,6,stratified_gene,grid,raw,109809,9022,23,0,9022,1.0,0.0,,,,,
DMS,gof,7,stratified_gene,grid,raw,106630,12201,32,31,12170,1.0,0.0,0.38284517719405203,0.37528560447424925,0.37528560447424925,-0.007559572719802787,0.0
DMS,gof,8,stratified_gene,grid,raw,104505,14326,33,50,14276,1.0,0.0,0.49658027458671894,0.5605673858223592,0.5605673858223592,0.06398711123564027,0.0
DMS,gof,9,stratified_gene,grid,raw,103842,14989,28,0,14989,1.0,0.0,,,,,
DMS,gof,10,stratified_gene,grid,raw,107648,11183,33,591,10592,1.0,0.0,0.6745368755143875,0.8589182015223314,0.8589182015223314,0.184381326007944,0.0
CBGE,lof,1,stratified_gene,grid,raw,83028,5144,25,492,4652,0.15,0.85,0.5952173730679697,0.5710761697040874,0.5955953030080602,0.000377929940090449,0.024519133303972818
CBGE,lof,2,stratified_gene,grid,raw,82252,5920,27,437,5483,0.16,0.84,0.6139175341632197,0.6161061170557967,0.618454962311217,0.004537428147997291,0.00234884525542034
CBGE,lof,3,stratified_gene,grid,raw,76211,11961,33,909,11052,0.23,0.77,0.8840647094025363,0.642260688247616,0.8785395731031662,-0.005525136299370126,0.23627888485555026
CBGE,lof,4,stratified_gene,grid,raw,79869,8303,32,958,7345,0.29,0.71,0.7452609319108479,0.48559029973665924,0.7262228007918697,-0.01903813111897812,0.2406325010552105
CBGE,lof,5,stratified_gene,grid,raw,77448,10724,32,870,9854,0.09,0.91,0.8305295241561277,0.8275235682341497,0.8344349339436229,0.0039054097874952065,0.0069113657094731495
CBGE,lof,6,stratified_gene,grid,raw,79691,8481,35,282,8199,0.14,0.86,0.6638969118358147,0.6856652644890961,0.6714497270468031,0.007552815210988384,-0.014215537442293091
CBGE,lof,7,stratified_gene,grid,raw,82209,5963,22,79,5884,0.17,0.83,0.5610602449035789,0.5484880689103253,0.5632975931296199,0.002237348226041047,0.0148095242192946
CBGE,lof,8,stratified_gene,grid,raw,78959,9213,34,412,8801,0.13,0.87,0.7201697071052164,0.7119411077514359,0.7279021691047906,0.007732461999574114,0.015961061353354622
CBGE,lof,9,stratified_gene,grid,raw,74096,14076,34,1054,13022,0.13,0.87,0.824650926457255,0.7348499707253554,0.8281442119408493,0.0034932854835942884,0.0932942412154939
CBGE,lof,10,stratified_gene,grid,raw,79785,8387,34,157,8230,0.14,0.86,0.6253453653326728,0.6017970606217736,0.6276586358746548,0.0023132705419819377,0.02586157525288113
CBGE,gof,1,stratified_gene,grid,raw,78706,5886,24,137,5749,0.55,0.44999999999999996,0.5432503018614472,0.5025920090196582,0.5234690133352293,-0.019781288526217855,0.020877004315571157
CBGE,gof,2,stratified_gene,grid,raw,77115,7477,32,91,7386,0.55,0.44999999999999996,0.5821973856092459,0.5893165864733697,0.5906214013443908,0.00842401573514484,0.001304814871021076
CBGE,gof,3,stratified_gene,grid,raw,79578,5014,24,131,4883,0.37,0.63,0.587978545287983,0.652020641796668,0.611756319244364,0.023777773956381032,-0.040264322552303944
CBGE,gof,4,stratified_gene,grid,raw,76125,8467,33,169,8298,0.37,0.63,0.4424841802615872,0.5193751684657741,0.45462441224163236,0.012140231980045157,-0.06475075622414178
CBGE,gof,5,stratified_gene,grid,raw,76756,7836,33,189,7647,0.65,0.35,0.6162765354605291,0.5332976309829978,0.5843540676808625,-0.03192246777966656,0.05105643669786475
CBGE,gof,6,stratified_gene,grid,raw,70809,13783,33,578,13205,0.18,0.8200000000000001,0.6058029555230339,0.6241922360854715,0.6118034874595316,0.006000531936497744,-0.01238874862593986
CBGE,gof,7,stratified_gene,grid,raw,75558,9034,33,157,8877,0.49,0.51,0.49135208787613305,0.4928890161291365,0.4857001813173527,-0.00565190655878034,-0.007188834811783784
CBGE,gof,8,stratified_gene,grid,raw,76826,7766,32,205,7561,0.49,0.51,0.606541269221712,0.597562588507779,0.6038561165931723,-0.0026851526285397442,0.006293528085393296
CBGE,gof,9,stratified_gene,grid,raw,76040,8552,32,228,8324,0.59,0.41000000000000003,0.6802840233693315,0.6231089346383739,0.6786996172555367,-0.001584406113794734,0.05559068261716282
CBGE,gof,10,stratified_gene,grid,raw,73815,10777,32,185,10592,0.55,0.44999999999999996,0.6183869008736833,0.5760517881930269,0.6112364252469993,-0.0071504756266840275,0.035184637053972345
