model,assay,case_class,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
ESM-2 (650M),DMS,lof,1,0.32,3.338841845809524,2.630885974593611,0.2705023946279556
ESM-2 (650M),DMS,lof,2,0.35,3.3471964182445326,2.6507960651825013,0.2989501171343821
ESM-2 (650M),DMS,lof,3,0.35,3.348431494021979,2.6348066520440847,0.2976065444794156
ESM-2 (650M),DMS,lof,4,0.39,3.3521708091312927,2.641650017137309,0.33503116259800514
ESM-2 (650M),DMS,lof,5,0.34,3.3536494935563756,2.6558270761815694,0.2897523233907666
ESM-2 (650M),DMS,lof,6,0.36,3.342310083682657,2.64137104714205,0.3077353346815382
ESM-2 (650M),DMS,lof,7,0.35,3.346297101564218,2.6405517264694747,0.29819546778758177
ESM-2 (650M),DMS,lof,8,0.39,3.3329181370179106,2.664638471119213,0.3382523522253987
ESM-2 (650M),DMS,lof,9,0.37,3.350361426859507,2.6389774672269395,0.3162858509398748
ESM-2 (650M),DMS,lof,10,0.37,3.342336761127619,2.6468656408091604,0.3174510002951901
ESM-2 (650M),DMS,gof,1,1.0,3.105311153882546,2.4171993680506074,1.0
ESM-2 (650M),DMS,gof,2,1.0,3.066227010540264,2.3748024684084914,1.0
ESM-2 (650M),DMS,gof,3,1.0,3.1319365270637256,2.398458091473322,1.0
ESM-2 (650M),DMS,gof,4,1.0,3.1128647085401315,2.3941144938419163,1.0
ESM-2 (650M),DMS,gof,5,1.0,3.120371524597921,2.3605849912299615,1.0
ESM-2 (650M),DMS,gof,6,1.0,3.12233080359573,2.382665924665192,1.0
ESM-2 (650M),DMS,gof,7,1.0,3.111069620586116,2.3976817229312952,1.0
ESM-2 (650M),DMS,gof,8,1.0,3.1196024892310037,2.4068003968036815,1.0
ESM-2 (650M),DMS,gof,9,1.0,3.0999670796806114,2.3884399798170457,1.0
ESM-2 (650M),DMS,gof,10,1.0,3.095926466409736,2.3629625487589565,1.0
ESM-2 (650M),CBGE,lof,1,0.15,3.093149526619043,2.0830211052281875,0.10621768808632726
ESM-2 (650M),CBGE,lof,2,0.16,3.075916098666084,2.057248002193489,0.11299954698037862
ESM-2 (650M),CBGE,lof,3,0.23,3.066979259258174,2.090864567652815,0.16918326782001933
ESM-2 (650M),CBGE,lof,4,0.29,3.081033729915972,2.106667410918526,0.21831003923844508
ESM-2 (650M),CBGE,lof,5,0.09,3.0779409375856663,2.067953947531898,0.06230774408885954
ESM-2 (650M),CBGE,lof,6,0.14,3.108251134011785,2.0992692392464667,0.09905571979830206
ESM-2 (650M),CBGE,lof,7,0.17,3.0996590127322183,2.098811799212962,0.12179422447690856
ESM-2 (650M),CBGE,lof,8,0.13,3.0825197135982316,2.0871649302290525,0.09187947354687145
ESM-2 (650M),CBGE,lof,9,0.13,3.067159409678116,2.1116343777265447,0.09327827319589561
ESM-2 (650M),CBGE,lof,10,0.14,3.0941953810581007,2.1198240746251527,0.10033708710123726
ESM-2 (650M),CBGE,gof,1,0.55,2.9554707024277618,1.9987563326099045,0.4525279008334624
ESM-2 (650M),CBGE,gof,2,0.55,2.9466099499332543,1.9554484171459259,0.44784908148176356
ESM-2 (650M),CBGE,gof,3,0.37,2.947176655702851,2.009079043287932,0.28589854615471866
ESM-2 (650M),CBGE,gof,4,0.37,2.9433627921459817,2.0129345648037362,0.28655478551374103
ESM-2 (650M),CBGE,gof,5,0.65,2.9508933991547943,2.007853443276058,0.5582338890979511
ESM-2 (650M),CBGE,gof,6,0.18,2.961930298661643,2.028247252640016,0.13067352872921503
ESM-2 (650M),CBGE,gof,7,0.49,2.9470365929811546,2.006395870350006,0.395448704376749
ESM-2 (650M),CBGE,gof,8,0.49,2.941707781863813,1.9679320190461647,0.39126156621655356
ESM-2 (650M),CBGE,gof,9,0.59,2.9585581484154604,2.0105955303946343,0.4944238065810217
ESM-2 (650M),CBGE,gof,10,0.55,2.9348967476593972,2.024103321481903,0.45738494497221804
ESM-1b (650M),DMS,lof,1,0.49,4.219139806088145,2.630885974593611,0.3746507716610458
ESM-1b (650M),DMS,lof,2,0.48,4.205139874568396,2.6507960651825013,0.3678409761949074
ESM-1b (650M),DMS,lof,3,0.47,4.204644811751211,2.6348066520440847,0.35720308908589143
ESM-1b (650M),DMS,lof,4,0.51,4.212791612783688,2.641650017137309,0.39491068356233905
ESM-1b (650M),DMS,lof,5,0.46,4.24572196719249,2.6558270761815694,0.34762428108958066
ESM-1b (650M),DMS,lof,6,0.5,4.228802793881165,2.64137104714205,0.3844693174093911
ESM-1b (650M),DMS,lof,7,0.5,4.192247646920663,2.6405517264694747,0.38645240144953175
ESM-1b (650M),DMS,lof,8,0.55,4.188603895679371,2.664638471119213,0.43742273663171616
ESM-1b (650M),DMS,lof,9,0.51,4.224533566549495,2.6389774672269395,0.3940040767186663
ESM-1b (650M),DMS,lof,10,0.53,4.229280544436102,2.6468656408091604,0.4137434443908873
ESM-1b (650M),DMS,gof,1,1.0,4.142737201947371,2.4171993680506074,1.0
ESM-1b (650M),DMS,gof,2,1.0,4.111027325525098,2.3748024684084914,1.0
ESM-1b (650M),DMS,gof,3,0.85,4.151306749275348,2.398458091473322,0.7660256140664778
ESM-1b (650M),DMS,gof,4,1.0,4.122507927084483,2.3941144938419163,1.0
ESM-1b (650M),DMS,gof,5,1.0,4.07526517358538,2.3605849912299615,1.0
ESM-1b (650M),DMS,gof,6,1.0,4.114163055968453,2.382665924665192,1.0
ESM-1b (650M),DMS,gof,7,1.0,4.137428035177084,2.3976817229312952,1.0
ESM-1b (650M),DMS,gof,8,1.0,4.1208471754380085,2.4068003968036815,1.0
ESM-1b (650M),DMS,gof,9,1.0,4.116423496375241,2.3884399798170457,1.0
ESM-1b (650M),DMS,gof,10,0.0,4.1349644914576995,2.3629625487589565,0.0
ESM-1b (650M),CBGE,lof,1,0.32,3.9729903999874074,2.0830211052281875,0.19789997892465672
ESM-1b (650M),CBGE,lof,2,0.29,3.9786363977331947,2.057248002193489,0.17437190428270744
ESM-1b (650M),CBGE,lof,3,0.37,3.9969229564435684,2.090864567652815,0.23502271549541093
ESM-1b (650M),CBGE,lof,4,0.48,3.9712569724157727,2.106667410918526,0.32871159626702345
ESM-1b (650M),CBGE,lof,5,0.26,3.929228826285671,2.067953947531898,0.15605852572914347
ESM-1b (650M),CBGE,lof,6,0.31,4.0006609669769055,2.0992692392464667,0.19077387146770133
ESM-1b (650M),CBGE,lof,7,0.35,4.002716864328761,2.098811799212962,0.22017597361488375
ESM-1b (650M),CBGE,lof,8,0.32,3.978169742065979,2.0871649302290525,0.19800866682610732
ESM-1b (650M),CBGE,lof,9,0.34,3.958410081416614,2.1116343777265447,0.21556953047594743
ESM-1b (650M),CBGE,lof,10,0.33,4.001519655856487,2.1198240746251527,0.2069307810025009
