fold,model,test_auc,n_test,n_test_genes,n_test_pathogenic
1,ESM-2 650M,0.8952917922644484,7577,1179,2457
1,ESM-2 650M + mutational context,0.907865282865283,7577,1179,2457
1,ESM-2 650M + CaLM,0.9122922072140822,7577,1179,2457
1,ESM-2 650M + mutational context + CaLM,0.9198786312067562,7577,1179,2457
2,ESM-2 650M,0.8902461874932617,7036,1148,2511
2,ESM-2 650M + mutational context,0.9041498291495321,7036,1148,2511
2,ESM-2 650M + CaLM,0.9164963882673144,7036,1148,2511
2,ESM-2 650M + mutational context + CaLM,0.9218392443414722,7036,1148,2511
3,ESM-2 650M,0.8807932912771402,6655,1194,2230
3,ESM-2 650M + mutational context,0.8985165817942287,6655,1194,2230
3,ESM-2 650M + CaLM,0.9119718274175977,6655,1194,2230
3,ESM-2 650M + mutational context + CaLM,0.9190462871475261,6655,1194,2230
4,ESM-2 650M,0.897967944803901,7304,1164,2370
4,ESM-2 650M + mutational context,0.9125532984766,7304,1164,2370
4,ESM-2 650M + CaLM,0.9078955289996733,7304,1164,2370
4,ESM-2 650M + mutational context + CaLM,0.917373208204844,7304,1164,2370
5,ESM-2 650M,0.903260697038316,7308,1149,2832
5,ESM-2 650M + mutational context,0.9157933649899275,7308,1149,2832
5,ESM-2 650M + CaLM,0.9134808116609361,7308,1149,2832
5,ESM-2 650M + mutational context + CaLM,0.920619086477535,7308,1149,2832
6,ESM-2 650M,0.8797859604735211,7531,1158,2805
6,ESM-2 650M + mutational context,0.896613718776473,7531,1158,2805
6,ESM-2 650M + CaLM,0.9089382284672419,7531,1158,2805
6,ESM-2 650M + mutational context + CaLM,0.9162736121263417,7531,1158,2805
7,ESM-2 650M,0.8808841162076069,7228,1143,2391
7,ESM-2 650M + mutational context,0.8972795007672542,7228,1143,2391
7,ESM-2 650M + CaLM,0.9044034175778216,7228,1143,2391
7,ESM-2 650M + mutational context + CaLM,0.9120639411091849,7228,1143,2391
8,ESM-2 650M,0.8942309589282246,6880,1142,2304
8,ESM-2 650M + mutational context,0.9077416859399281,6880,1142,2304
8,ESM-2 650M + CaLM,0.9100001289942696,6880,1142,2304
8,ESM-2 650M + mutational context + CaLM,0.917421093446484,6880,1142,2304
9,ESM-2 650M,0.8981257787691764,7868,1144,3298
9,ESM-2 650M + mutational context,0.9133311349760415,7868,1144,3298
9,ESM-2 650M + CaLM,0.9099592220203745,7868,1144,3298
9,ESM-2 650M + mutational context + CaLM,0.9187613871147953,7868,1144,3298
10,ESM-2 650M,0.9109111945692531,6049,1133,1735
10,ESM-2 650M + mutational context,0.9226687722701639,6049,1133,1735
10,ESM-2 650M + CaLM,0.9177395758598437,6049,1133,1735
10,ESM-2 650M + mutational context + CaLM,0.9261311272594155,6049,1133,1735
