gene,model,mean_raw_calm_weight,sd_raw_calm_weight,mean_standardized_equivalent_calm_weight,sd_standardized_equivalent_calm_weight
AARS1,ESM-1b 650M + CaLM,0.148,0.1411382301150188,0.12708019307221693,0.12052352546563048
AARS1,ESM-2 650M + CaLM,0.012,0.010954451150103323,0.011299021389271593,0.010386148855220795
AARS2,ESM-1b 650M + CaLM,0.1,0.07071067811865475,0.05790177837827861,0.03984994153965143
AARS2,ESM-2 650M + CaLM,0.06000000000000001,0.05477225575051661,0.042181104767439304,0.03852862507774064
ABCB7,ESM-1b 650M + CaLM,0.44800000000000006,0.25043961347997645,0.3556550537176566,0.19953072002025865
ABCB7,ESM-2 650M + CaLM,0.33,0.09746794344808965,0.37289186083960113,0.1070900724655906
ABCD1,ESM-1b 650M + CaLM,0.16599999999999998,0.03507135583350036,0.11359534080589836,0.02481313513215901
ABCD1,ESM-2 650M + CaLM,0.458,0.05848076606885377,0.40622967772993307,0.055025918454483666
ACAD9,ESM-1b 650M + CaLM,0.45200000000000007,0.20945166506857854,0.43787601667596315,0.20700266198755615
ACAD9,ESM-2 650M + CaLM,0.246,0.22589820716420042,0.23594704654901566,0.21691001758469106
ACADS,ESM-1b 650M + CaLM,0.11400000000000002,0.10406728592598156,0.13049727046854415,0.11982505744348435
ACADS,ESM-2 650M + CaLM,0.094,0.21019038988498023,0.09232782705923506,0.2064512975192941
ACADVL,ESM-1b 650M + CaLM,0.164,0.12856904759700136,0.13745278179738296,0.10789322574284747
ACADVL,ESM-2 650M + CaLM,0.274,0.16786899654194637,0.25088313694665676,0.15405274312691478
ACTN4,ESM-1b 650M + CaLM,0.454,0.3540197734590541,0.4679476149379546,0.36393731381665323
ACTN4,ESM-2 650M + CaLM,0.5640000000000001,0.35401977345905417,0.5626995293029601,0.35860358572359047
ACVRL1,ESM-1b 650M + CaLM,0.062,0.11670475568716127,0.0570195929416278,0.10793450613419267
ACVRL1,ESM-2 650M + CaLM,0.274,0.10876580344942981,0.24871022093267697,0.09971722631096602
ADA,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
ADA,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
ADAMTSL2,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
ADAMTSL2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
ADGRG1,ESM-1b 650M + CaLM,0.5900000000000001,0.4457016939613311,0.5689344866059047,0.44845830008529747
ADGRG1,ESM-2 650M + CaLM,0.786,0.12739701723352867,0.7706309238373235,0.14887234935350668
AFG3L2,ESM-1b 650M + CaLM,0.462,0.12132600710482482,0.33029866412285436,0.10352164482666303
AFG3L2,ESM-2 650M + CaLM,0.79,0.14282856857085696,0.7411819859856001,0.1697559838482256
AIFM1,ESM-1b 650M + CaLM,0.634,0.15582040944625966,0.4981950226260209,0.1886191190575821
AIFM1,ESM-2 650M + CaLM,0.098,0.1277497553813705,0.0911807635117233,0.120242870730892
AIRE,ESM-1b 650M + CaLM,0.366,0.21881499034572563,0.2644748368883518,0.1591340615144134
AIRE,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
AK2,ESM-1b 650M + CaLM,0.368,0.20571825392998067,0.31373789538866703,0.17567649053367485
AK2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
ALAS2,ESM-1b 650M + CaLM,0.16,0.2646696053573209,0.1435884129915571,0.24169784430944039
ALAS2,ESM-2 650M + CaLM,0.588,0.18047160441465573,0.5882865420256176,0.1843278677210486
ALDH18A1,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
ALDH18A1,ESM-2 650M + CaLM,0.296,0.13630847369110993,0.2856914955298376,0.13566583354794542
ALDH3A2,ESM-1b 650M + CaLM,0.024,0.021908902300206645,0.019053996932519218,0.017396702478506117
ALDH3A2,ESM-2 650M + CaLM,0.156,0.07602631123499286,0.12617231027428497,0.062084963592288794
ALDH5A1,ESM-1b 650M + CaLM,0.006,0.005477225575051661,0.0049103943973287465,0.0044865857715599405
ALDH5A1,ESM-2 650M + CaLM,0.366,0.12641202474448382,0.3250809022975184,0.13139654878921445
ALG1,ESM-1b 650M + CaLM,0.49800000000000005,0.09338094023943004,0.4012441847257205,0.09487402699966964
ALG1,ESM-2 650M + CaLM,0.398,0.10084641788382964,0.35478934741577994,0.08615346024927174
ALOXE3,ESM-1b 650M + CaLM,0.304,0.169941166289984,0.1575970446526658,0.08941430348918376
ALOXE3,ESM-2 650M + CaLM,0.45,0.0552268050859363,0.23863449406231158,0.04077957802334674
AMHR2,ESM-1b 650M + CaLM,0.016,0.03577708763999664,0.015075665032665983,0.03371021181905773
AMHR2,ESM-2 650M + CaLM,0.068,0.15205262246998572,0.059768005813410074,0.13364532387838754
ANO3,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
ANO3,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
ANOS1,ESM-1b 650M + CaLM,0.36,0.04472135954999579,0.2628638412374268,0.03769633529784631
ANOS1,ESM-2 650M + CaLM,0.066,0.021908902300206645,0.05442282455455333,0.016805566593514818
APP,ESM-1b 650M + CaLM,0.16,0.10246950765959599,0.05700607855984084,0.04165161280375528
APP,ESM-2 650M + CaLM,0.594,0.4731067532809059,0.5368668989262957,0.47031117703959247
AR,ESM-1b 650M + CaLM,0.002,0.00447213595499958,0.0012078421929090373,0.0027008172494370217
AR,ESM-2 650M + CaLM,0.6900000000000001,0.3863288754416372,0.6869979926583193,0.38475318859561747
ARSA,ESM-1b 650M + CaLM,0.054000000000000006,0.08792041856133306,0.04476721040837316,0.07414288486445021
ARSA,ESM-2 650M + CaLM,0.008,0.010954451150103323,0.006903245197691886,0.009453504859915553
ARSB,ESM-1b 650M + CaLM,0.27799999999999997,0.20813457185196313,0.2295576763093635,0.17532710405248517
ARSB,ESM-2 650M + CaLM,0.13399999999999998,0.11126544836560899,0.12564730414014966,0.10557565425923886
ARSL,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
ARSL,ESM-2 650M + CaLM,0.038,0.030331501776206204,0.030576662553846577,0.024425423064683264
ARX,ESM-1b 650M + CaLM,0.352,0.13292855223765884,0.2467951107567818,0.09665692841759752
ARX,ESM-2 650M + CaLM,0.386,0.2913417237540823,0.3597367416976978,0.2783454136010626
ASAH1,ESM-1b 650M + CaLM,0.268,0.3669741135284613,0.14119721170476907,0.19345109621831202
ASAH1,ESM-2 650M + CaLM,0.362,0.13700364958642525,0.1685997242499501,0.0765120333250444
ASL,ESM-1b 650M + CaLM,0.458,0.26780589986032793,0.41423410796518356,0.24826907764220077
ASL,ESM-2 650M + CaLM,0.784,0.11523888232710351,0.7340032627693762,0.13184045745400907
ASPA,ESM-1b 650M + CaLM,0.378,0.21844907873461034,0.1909406908251503,0.13057030398973127
ASPA,ESM-2 650M + CaLM,0.368,0.23209911675833667,0.2303460638142394,0.15896823704342175
ATP1A2,ESM-1b 650M + CaLM,0.066,0.060249481325568274,0.058094646272073,0.05311548158465918
ATP1A2,ESM-2 650M + CaLM,0.126,0.25957657829627073,0.11834006847188745,0.24488559834485
ATP1A3,ESM-1b 650M + CaLM,0.40199999999999997,0.11454256850621082,0.4767178846466595,0.1202141048952357
ATP1A3,ESM-2 650M + CaLM,0.11600000000000002,0.10691117808723279,0.11886528966076744,0.1091724904411081
ATP6V1B2,ESM-1b 650M + CaLM,0.074,0.06308724118235001,0.05915322848295244,0.050700481519388
ATP6V1B2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
AVPR2,ESM-1b 650M + CaLM,0.12000000000000002,0.10954451150103324,0.09754585565149893,0.08922466167073032
AVPR2,ESM-2 650M + CaLM,0.33799999999999997,0.07949842765740715,0.3256851823361172,0.07860775783345914
BAG3,ESM-1b 650M + CaLM,0.012,0.010954451150103323,0.0053933394919361164,0.0049332546377641685
BAG3,ESM-2 650M + CaLM,0.45199999999999996,0.27689348132449776,0.32298868050120694,0.2174204197182915
BAP1,ESM-1b 650M + CaLM,0.192,0.18566098136118964,0.122752371761539,0.12194572311640504
BAP1,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
BBS12,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
BBS12,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
