analysis,method,weighted,n_genes,x_column,y_column,weight_definition,intercept,slope,slope_95ci_low,slope_95ci_high,p_value,r_squared
esm2_weight_predicts_cross_modal_gain,OLS_HC3,0,466,esm2_calm_weight,esm2_cross_modal_gain,,-0.0017237645621008201,0.10415077704165607,0.08847348418346648,0.11982806989984565,9.312116585098813e-39,0.4758226575464156
weighted_esm2_weight_predicts_cross_modal_gain,WLS_HC3,1,466,esm2_calm_weight,esm2_cross_modal_gain,n_pathogenic*n_benign/(n_pathogenic+n_benign),-0.003517419708073944,0.09080021813436086,0.07656573890540078,0.10503469736332094,7.243079405938381e-36,0.4816074233657869
esm2_independent_calm_signal_predicts_cross_modal_gain,OLS_HC3,0,466,esm2_independent_calm_signal,esm2_cross_modal_gain,,0.04233847731376964,0.18712780442645582,0.14156211023239468,0.23269349862051697,8.339120344529112e-16,0.32380742952992125
weighted_esm2_independent_calm_signal_predicts_cross_modal_gain,WLS_HC3,1,466,esm2_independent_calm_signal,esm2_cross_modal_gain,n_pathogenic*n_benign/(n_pathogenic+n_benign),0.03888016874925687,0.16614837390983256,0.12514985599660725,0.20714689182305787,1.975975165082407e-15,0.334971809349881
esm2_weight_predicts_cross_modal_advantage,OLS_HC3,0,466,esm2_calm_weight,esm2_cross_modal_advantage,,-0.008692806851791,0.07578648449439634,0.06035130852480561,0.09122166046398708,6.369407831668807e-22,0.31144790149627943
weighted_esm2_weight_predicts_cross_modal_advantage,WLS_HC3,1,466,esm2_calm_weight,esm2_cross_modal_advantage,n_pathogenic*n_benign/(n_pathogenic+n_benign),-0.009618492189146781,0.06790253925028396,0.051091005983718435,0.08471407251684948,2.4452017431738198e-15,0.3170328286012746
esm2_independent_calm_signal_predicts_cross_modal_advantage,OLS_HC3,0,466,esm2_independent_calm_signal,esm2_cross_modal_advantage,,0.023064470942617973,0.13200085722194893,0.09383717596707072,0.17016453847682714,1.2089360092160684e-11,0.19917987886525468
weighted_esm2_independent_calm_signal_predicts_cross_modal_advantage,WLS_HC3,1,466,esm2_independent_calm_signal,esm2_cross_modal_advantage,n_pathogenic*n_benign/(n_pathogenic+n_benign),0.02197616538208764,0.1228067241583068,0.08306700559576172,0.1625464427208519,1.388293704401783e-09,0.2154136297233067
esm1b_weight_predicts_gain_over_esm1b,OLS_HC3,0,466,esm1b_calm_weight,esm1b_gain_over_protein,,-0.0016948567743631255,0.08914396638949797,0.07153995103444591,0.10674798174455002,3.2426680368535027e-23,0.4006041639350447
weighted_esm1b_weight_predicts_gain_over_esm1b,WLS_HC3,1,466,esm1b_calm_weight,esm1b_gain_over_protein,n_pathogenic*n_benign/(n_pathogenic+n_benign),-0.00383762685709412,0.07846476958939591,0.0622073318908789,0.09472220728791292,3.092571536532173e-21,0.392819609954966
esm1b_independent_calm_signal_predicts_gain_over_esm1b,OLS_HC3,0,466,esm1b_independent_calm_signal,esm1b_gain_over_protein,,0.03782204692886354,0.15425956565200016,0.10988439650811388,0.19863473479588645,9.535724031867503e-12,0.2890127561887883
weighted_esm1b_independent_calm_signal_predicts_gain_over_esm1b,WLS_HC3,1,466,esm1b_independent_calm_signal,esm1b_gain_over_protein,n_pathogenic*n_benign/(n_pathogenic+n_benign),0.03293458634806882,0.12706750657207755,0.08674103108046574,0.16739398206368936,6.583455649572315e-10,0.27153280495884347
