gene,model,fold,weight_second,train_auc_at_selected_weight,test_auc_at_selected_weight,n_train,n_test,n_test_pathogenic,n_test_benign
AARS1,ESM-2 150M + 650M,1,0.77,0.9807692307692308,1.0,21,6,2,4
AARS1,ESM-2 150M + 650M,2,0.58,0.971153846153846,1.0,21,6,2,4
AARS1,ESM-2 150M + 650M,3,0.77,0.9732142857142856,1.0,22,5,2,3
AARS1,ESM-2 150M + 650M,4,0.56,1.0,0.8333333333333334,22,5,2,3
AARS1,ESM-2 150M + 650M,5,0.77,0.9821428571428572,1.0,22,5,2,3
AARS1,ESM-2 650M + ESM-1b 650M,1,0.17,1.0,1.0,21,6,2,4
AARS1,ESM-2 650M + ESM-1b 650M,2,0.17,1.0,1.0,21,6,2,4
AARS1,ESM-2 650M + ESM-1b 650M,3,0.17,1.0,1.0,22,5,2,3
AARS1,ESM-2 650M + ESM-1b 650M,4,0.0,1.0,0.8333333333333334,22,5,2,3
AARS1,ESM-2 650M + ESM-1b 650M,5,0.17,1.0,1.0,22,5,2,3
AARS1,ESM-2 650M + CaLM,1,0.0,0.9807692307692308,1.0,21,6,2,4
AARS1,ESM-2 650M + CaLM,2,0.02,0.9807692307692308,1.0,21,6,2,4
AARS1,ESM-2 650M + CaLM,3,0.0,1.0,1.0,22,5,2,3
AARS1,ESM-2 650M + CaLM,4,0.02,0.9910714285714286,1.0,22,5,2,3
AARS1,ESM-2 650M + CaLM,5,0.02,0.9910714285714286,1.0,22,5,2,3
AARS1,ESM-2 150M + CaLM,1,0.37,0.903846153846154,1.0,21,6,2,4
AARS1,ESM-2 150M + CaLM,2,0.36,0.9519230769230768,0.875,21,6,2,4
AARS1,ESM-2 150M + CaLM,3,0.37,0.9107142857142856,1.0,22,5,2,3
AARS1,ESM-2 150M + CaLM,4,0.11,0.9642857142857144,0.3333333333333333,22,5,2,3
AARS1,ESM-2 150M + CaLM,5,0.37,0.9107142857142856,1.0,22,5,2,3
AARS1,ESM-1b 650M + CaLM,1,0.28,1.0,0.875,21,6,2,4
AARS1,ESM-1b 650M + CaLM,2,0.0,0.9615384615384616,1.0,21,6,2,4
AARS1,ESM-1b 650M + CaLM,3,0.0,0.9642857142857144,1.0,22,5,2,3
AARS1,ESM-1b 650M + CaLM,4,0.28,0.9375,1.0,22,5,2,3
AARS1,ESM-1b 650M + CaLM,5,0.18,0.9464285714285714,1.0,22,5,2,3
AARS2,ESM-2 150M + 650M,1,0.48,1.0,0.6666666666666666,20,6,3,3
AARS2,ESM-2 150M + 650M,2,0.48,0.9090909090909092,1.0,21,5,2,3
AARS2,ESM-2 150M + 650M,3,0.48,0.9090909090909092,1.0,21,5,2,3
AARS2,ESM-2 150M + 650M,4,0.0,0.9090909090909092,1.0,21,5,3,2
AARS2,ESM-2 150M + 650M,5,0.0,0.9272727272727272,1.0,21,5,3,2
AARS2,ESM-2 650M + ESM-1b 650M,1,0.0,0.99,0.6666666666666666,20,6,3,3
AARS2,ESM-2 650M + ESM-1b 650M,2,0.64,0.9454545454545454,1.0,21,5,2,3
AARS2,ESM-2 650M + ESM-1b 650M,3,0.64,0.9363636363636364,1.0,21,5,2,3
AARS2,ESM-2 650M + ESM-1b 650M,4,0.64,0.9636363636363636,1.0,21,5,3,2
AARS2,ESM-2 650M + ESM-1b 650M,5,0.64,0.9545454545454546,1.0,21,5,3,2
AARS2,ESM-2 650M + CaLM,1,0.0,0.91,1.0,20,6,3,3
AARS2,ESM-2 650M + CaLM,2,0.1,1.0,0.8333333333333334,21,5,2,3
AARS2,ESM-2 650M + CaLM,3,0.1,0.9181818181818182,1.0,21,5,2,3
AARS2,ESM-2 650M + CaLM,4,0.0,0.9272727272727272,1.0,21,5,3,2
AARS2,ESM-2 650M + CaLM,5,0.1,0.9272727272727272,1.0,21,5,3,2
AARS2,ESM-2 150M + CaLM,1,0.0,0.92,0.8888888888888888,20,6,3,3
AARS2,ESM-2 150M + CaLM,2,0.21,1.0,0.6666666666666666,21,5,2,3
AARS2,ESM-2 150M + CaLM,3,0.21,0.9181818181818182,1.0,21,5,2,3
AARS2,ESM-2 150M + CaLM,4,0.21,0.9181818181818182,1.0,21,5,3,2
AARS2,ESM-2 150M + CaLM,5,0.02,0.9272727272727272,1.0,21,5,3,2
AARS2,ESM-1b 650M + CaLM,1,0.15,0.94,1.0,20,6,3,3
AARS2,ESM-1b 650M + CaLM,2,0.15,0.9272727272727272,1.0,21,5,2,3
AARS2,ESM-1b 650M + CaLM,3,0.0,1.0,1.0,21,5,2,3
AARS2,ESM-1b 650M + CaLM,4,0.15,0.9636363636363636,1.0,21,5,3,2
AARS2,ESM-1b 650M + CaLM,5,0.05,0.9545454545454546,1.0,21,5,3,2
ABCB7,ESM-2 150M + 650M,1,0.86,0.8,1.0,15,4,1,3
