analysis,score_column,n_variants,n_genes,n_bootstrap_requested,n_bootstrap_valid,pooled_oof_auroc,bootstrap_mean_auroc,bootstrap_sd_auroc,bootstrap_95ci_low,bootstrap_95ci_high,resampling_unit,ci_method
ClinVar model combinations,score_calm,71436,11554,5000,5000,0.840454422022795,0.8404680714814933,0.005547077341836008,0.8294363067788788,0.85119543253216,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm2_650m,71436,11554,5000,5000,0.8927237324265922,0.89267704272174,0.003980920597318987,0.8847890857331261,0.9004244001601681,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm2_150m_esm2_650m,71436,11554,5000,5000,0.8934140136643124,0.8933758458755585,0.004047498501622525,0.8853489620441397,0.9012636604016266,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm2_650m_esm1b_650m,71436,11554,5000,5000,0.9342074606967294,0.9341490159010764,0.002463262952724612,0.9290618291539173,0.9388290870955288,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm1b_650m,71436,11554,5000,5000,0.9267069149617472,0.926648269803731,0.0028709937335694375,0.9207423159408017,0.9320817535674535,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm2_650m_calm,71436,11554,5000,5000,0.9110559309076705,0.9110431825621818,0.0031850746276902223,0.9045669580320195,0.9173211183569178,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm2_150m_calm,71436,11554,5000,5000,0.8763999356220611,0.8764179726441845,0.004200692989105029,0.8681042918808333,0.884638317673535,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm2_150m,71436,11554,5000,5000,0.8364192920238074,0.8365158958654738,0.007570547943135146,0.8206829723134231,0.8498373270243667,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm1b_650m_calm,71436,11554,5000,5000,0.9327527839336429,0.9327015792320213,0.0027653809882768983,0.9270614822801468,0.938012098984886,gene,percentile cluster bootstrap
ClinVar model combinations,score_esm2_650m_esm1b_650m_calm,71436,11554,5000,5000,0.9372634079844487,0.9372157012272903,0.002370757119608087,0.9324170280278982,0.9417674048676486,gene,percentile cluster bootstrap
