fold,model,components,test_auc,w_esm2_150m,w_esm2_650m,w_esm1b_650m,w_calm,n_test,n_test_genes,n_test_pathogenic
1,ESM-2 150M,ESM-2 150M,0.8204772874694749,1.0,0.0,0.0,0.0,7577,1179,2457
1,ESM-2 650M,ESM-2 650M,0.8952917922644484,0.0,1.0,0.0,0.0,7577,1179,2457
1,ESM-1b 650M,ESM-1b 650M,0.9369693096255596,0.0,0.0,1.0,0.0,7577,1179,2457
1,CaLM,CaLM,0.8387804614367115,0.0,0.0,0.0,1.0,7577,1179,2457
1,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.8956877829924705,0.16000000000000003,0.84,0.0,0.0,7577,1179,2457
1,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.9414490963319089,0.0,0.39,0.61,0.0,7577,1179,2457
1,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.9381158265923891,0.26,0.0,0.74,0.0,7577,1179,2457
1,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.8656089425620676,0.49,0.0,0.0,0.51,7577,1179,2457
1,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.9122413321632072,0.0,0.54,0.0,0.46,7577,1179,2457
1,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.941808083409646,0.0,0.0,0.64,0.36,7577,1179,2457
1,ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M + ESM-1b 650M + CaLM,0.9439273472476598,0.0,0.30000000000000004,0.45,0.24999999999999994,7577,1179,2457
2,ESM-2 150M,ESM-2 150M,0.8474852087280057,1.0,0.0,0.0,0.0,7036,1148,2511
2,ESM-2 650M,ESM-2 650M,0.8902461874932617,0.0,1.0,0.0,0.0,7036,1148,2511
2,ESM-1b 650M,ESM-1b 650M,0.9202259230655832,0.0,0.0,1.0,0.0,7036,1148,2511
2,CaLM,CaLM,0.8523614328996614,0.0,0.0,0.0,1.0,7036,1148,2511
2,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.8915336937365096,0.15000000000000002,0.85,0.0,0.0,7036,1148,2511
2,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.9298085990701686,0.0,0.38,0.62,0.0,7036,1148,2511
2,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.924064150885276,0.25,0.0,0.75,0.0,7036,1148,2511
2,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.8917873401233467,0.48,0.0,0.0,0.52,7036,1148,2511
2,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.9169085416432889,0.0,0.55,0.0,0.45,7036,1148,2511
2,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.9307985416652915,0.0,0.0,0.6499999999999999,0.35000000000000003,7036,1148,2511
2,ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M + ESM-1b 650M + CaLM,0.9361237956307166,0.0,0.25,0.5,0.25,7036,1148,2511
3,ESM-2 150M,ESM-2 150M,0.8339688378809759,1.0,0.0,0.0,0.0,6655,1194,2230
3,ESM-2 650M,ESM-2 650M,0.8807932912771402,0.0,1.0,0.0,0.0,6655,1194,2230
3,ESM-1b 650M,ESM-1b 650M,0.9438724126573941,0.0,0.0,1.0,0.0,6655,1194,2230
3,CaLM,CaLM,0.871437055053077,0.0,0.0,0.0,1.0,6655,1194,2230
3,ESM-2 150M + ESM-2 650M,ESM-2 150M + ESM-2 650M,0.8809937422411391,0.16000000000000003,0.84,0.0,0.0,6655,1194,2230
3,ESM-2 650M + ESM-1b 650M,ESM-2 650M + ESM-1b 650M,0.9468547541232804,0.0,0.39,0.61,0.0,6655,1194,2230
3,ESM-2 150M + ESM-1b 650M,ESM-2 150M + ESM-1b 650M,0.9438632920371919,0.26,0.0,0.74,0.0,6655,1194,2230
3,ESM-2 150M + CaLM,ESM-2 150M + CaLM,0.8908635707228092,0.49,0.0,0.0,0.51,6655,1194,2230
3,ESM-2 650M + CaLM,ESM-2 650M + CaLM,0.9125954751589775,0.0,0.56,0.0,0.44,6655,1194,2230
3,ESM-1b 650M + CaLM,ESM-1b 650M + CaLM,0.9489241215069293,0.0,0.0,0.64,0.36,6655,1194,2230
