model,mean_auc,sd_auc,mean_w_esm2_150m,mean_w_esm2_650m,mean_w_esm1b_650m,mean_w_calm,n_folds
ESM-2 150M,0.8369067371921648,0.021000486155446623,1.0,0.0,0.0,0.0,10
ESM-2 650M,0.8931497921824849,0.010336466055814494,0.0,1.0,0.0,0.0,10
ESM-1b 650M,0.9266562600301128,0.010428592908400236,0.0,0.0,1.0,0.0,10
CaLM,0.8398663524403508,0.020427781697212724,0.0,0.0,0.0,1.0,10
ESM-2 150M + ESM-2 650M,0.8938422956327274,0.010451371655305935,0.156,0.844,0.0,0.0,10
ESM-2 650M + ESM-1b 650M,0.9344132370980782,0.006724599255908206,0.0,0.382,0.618,0.0,10
ESM-2 150M + ESM-1b 650M,0.9290130011994625,0.009460529949430543,0.253,0.0,0.747,0.0,10
ESM-2 150M + CaLM,0.8763286691286435,0.011959998458355894,0.481,0.0,0.0,0.519,10
ESM-2 650M + CaLM,0.911421479829982,0.003899288308331821,0.0,0.545,0.0,0.45499999999999996,10
ESM-1b 650M + CaLM,0.932677028239816,0.010044306520010251,0.0,0.0,0.641,0.359,10
ESM-2 650M + ESM-1b 650M + CaLM,0.9374034675965011,0.006643206752170148,0.0,0.28,0.465,0.255,10
