fold,esm2_650m_auc,weak_same_modality_placeholder_auc,esm1b_650m_auc,strong_same_modality_placeholder_auc,esm2_650m_plus_calm_auc,weak_same_modality_placeholder_gain,strong_same_modality_placeholder_gain,calm_gain,calm_minus_weak_placeholder_gain,calm_minus_strong_placeholder_gain
1,0.8952917922644484,0.8956877829924705,0.9369693096255596,0.9414490963319088,0.9122413321632072,0.0003959907280220998,0.004479786706349187,0.016949539898758803,0.016553549170736703,0.012469753192409616
2,0.8902461874932617,0.8915336937365096,0.9202259230655832,0.9298085990701686,0.9169085416432888,0.0012875062432479156,0.0095826760045854,0.026662354150027157,0.02537484790677924,0.017079678145441757
3,0.8807932912771402,0.8809937422411391,0.943872412657394,0.9468547541232804,0.9125954751589777,0.0002004509639988994,0.0029823414658863845,0.03180218388183742,0.03160173291783852,0.028819842415951036
4,0.897967944803901,0.8970272576918275,0.9082383666935192,0.92585512734338,0.907609132532552,-0.0009406871120735127,0.01761676064986084,0.00964118772865108,0.010581874840724592,-0.007975572921209761
5,0.903260697038316,0.9037952886202876,0.9164675112842882,0.926713462067625,0.9132110900319594,0.0005345915819715552,0.010245950783336788,0.00995039299364342,0.009415801411671865,-0.0002955577896933681
6,0.8797859604735211,0.8792465241396062,0.9280844088491396,0.9308699250099765,0.9097197360073564,-0.0005394363339148445,0.0027855161608368872,0.02993377553383536,0.030473211867750205,0.027148259372998473
7,0.8808841162076069,0.8831011856449142,0.9268931707326774,0.932676608330789,0.9048211338311514,0.002217069437307373,0.005783437598111618,0.0239370176235445,0.021719948186237126,0.01815358002543288
8,0.8942309589282246,0.8953549163510102,0.9314418694911858,0.9378255208333334,0.909963043141754,0.001123957422785593,0.006383651342147578,0.01573208421352945,0.014608126790743858,0.009348432871381873
9,0.8981257787691764,0.8994613803472166,0.9329341567663182,0.9389077393234808,0.909758052423523,0.0013356015780401354,0.005973582557162627,0.011632273654346603,0.010296672076306468,0.0056586910971839766
10,0.9109111945692532,0.9122211845622924,0.9214354711354628,0.9331715385468397,0.9173872613660504,0.0013099899930392178,0.011736067411376894,0.006476066796797242,0.005166076803758024,-0.005260000614579652
