fold,model,test_auc,w_esm2_150m,w_esm2_650m,w_esm1b_650m,w_calm,n_test,n_test_genes,n_test_pathogenic
1,ESM-2 150M,0.836350208879854,1.0,0.0,0.0,0.0,7144,3900,2493
1,ESM-2 650M,0.8935671352588798,0.0,1.0,0.0,0.0,7144,3900,2493
1,ESM-1b 650M,0.9249480570969603,0.0,0.0,1.0,0.0,7144,3900,2493
1,CaLM,0.8369932478322661,0.0,0.0,0.0,1.0,7144,3900,2493
1,ESM-2 150M + ESM-2 650M,0.8940723555087765,0.16000000000000003,0.84,0.0,0.0,7144,3900,2493
1,ESM-2 650M + ESM-1b 650M,0.9328537449472586,0.0,0.38,0.62,0.0,7144,3900,2493
1,ESM-2 150M + ESM-1b 650M,0.927635435551516,0.25,0.0,0.75,0.0,7144,3900,2493
1,ESM-2 150M + CaLM,0.8761860235104217,0.48,0.0,0.0,0.52,7144,3900,2493
1,ESM-2 650M + CaLM,0.9111156475715319,0.0,0.54,0.0,0.46,7144,3900,2493
1,ESM-1b 650M + CaLM,0.9309146237286378,0.0,0.0,0.64,0.36,7144,3900,2493
1,ESM-2 650M + ESM-1b 650M + CaLM,0.9360007203140196,0.0,0.30000000000000004,0.45,0.24999999999999994,7144,3900,2493
2,ESM-2 150M,0.8318774831407105,1.0,0.0,0.0,0.0,7144,3871,2493
2,ESM-2 650M,0.888960083719256,0.0,1.0,0.0,0.0,7144,3871,2493
2,ESM-1b 650M,0.9279533327589449,0.0,0.0,1.0,0.0,7144,3871,2493
2,CaLM,0.839228877623633,0.0,0.0,0.0,1.0,7144,3871,2493
2,ESM-2 150M + ESM-2 650M,0.8895953175448987,0.16000000000000003,0.84,0.0,0.0,7144,3871,2493
2,ESM-2 650M + ESM-1b 650M,0.9341785466301992,0.0,0.39,0.61,0.0,7144,3871,2493
2,ESM-2 150M + ESM-1b 650M,0.9297338503518302,0.26,0.0,0.74,0.0,7144,3871,2493
2,ESM-2 150M + CaLM,0.871594711591079,0.48,0.0,0.0,0.52,7144,3871,2493
2,ESM-2 650M + CaLM,0.9069747906479575,0.0,0.54,0.0,0.46,7144,3871,2493
2,ESM-1b 650M + CaLM,0.9332908320463499,0.0,0.0,0.64,0.36,7144,3871,2493
2,ESM-2 650M + ESM-1b 650M + CaLM,0.9367871838611023,0.0,0.30000000000000004,0.45,0.24999999999999994,7144,3871,2493
3,ESM-2 150M,0.8318253052214228,1.0,0.0,0.0,0.0,7144,3892,2493
3,ESM-2 650M,0.8921240923737185,0.0,1.0,0.0,0.0,7144,3892,2493
3,ESM-1b 650M,0.92980077607971,0.0,0.0,1.0,0.0,7144,3892,2493
3,CaLM,0.8443116969182168,0.0,0.0,0.0,1.0,7144,3892,2493
3,ESM-2 150M + ESM-2 650M,0.8923766162541723,0.16000000000000003,0.84,0.0,0.0,7144,3892,2493
3,ESM-2 650M + ESM-1b 650M,0.9372497993306219,0.0,0.38,0.62,0.0,7144,3892,2493
3,ESM-2 150M + ESM-1b 650M,0.9325163564840292,0.25,0.0,0.75,0.0,7144,3892,2493
3,ESM-2 150M + CaLM,0.8773991385727381,0.48,0.0,0.0,0.52,7144,3892,2493
3,ESM-2 650M + CaLM,0.913497461781399,0.0,0.55,0.0,0.45,7144,3892,2493
3,ESM-1b 650M + CaLM,0.9369724370356974,0.0,0.0,0.64,0.36,7144,3892,2493
3,ESM-2 650M + ESM-1b 650M + CaLM,0.9411496028915364,0.0,0.30000000000000004,0.45,0.24999999999999994,7144,3892,2493
4,ESM-2 150M,0.8253935897767545,1.0,0.0,0.0,0.0,7144,3859,2494
4,ESM-2 650M,0.886074794560709,0.0,1.0,0.0,0.0,7144,3859,2494
4,ESM-1b 650M,0.9223823197178606,0.0,0.0,1.0,0.0,7144,3859,2494
4,CaLM,0.8345848531098292,0.0,0.0,0.0,1.0,7144,3859,2494
4,ESM-2 150M + ESM-2 650M,0.8866077726328134,0.16000000000000003,0.84,0.0,0.0,7144,3859,2494
4,ESM-2 650M + ESM-1b 650M,0.9303395676505334,0.0,0.38,0.62,0.0,7144,3859,2494
4,ESM-2 150M + ESM-1b 650M,0.9240967138336308,0.26,0.0,0.74,0.0,7144,3859,2494
4,ESM-2 150M + CaLM,0.8682345586396598,0.48,0.0,0.0,0.52,7144,3859,2494
4,ESM-2 650M + CaLM,0.9056640022074485,0.0,0.54,0.0,0.46,7144,3859,2494
4,ESM-1b 650M + CaLM,0.927908787541713,0.0,0.0,0.64,0.36,7144,3859,2494
4,ESM-2 650M + ESM-1b 650M + CaLM,0.9331268161868052,0.0,0.30000000000000004,0.45,0.24999999999999994,7144,3859,2494
5,ESM-2 150M,0.8432152003518121,1.0,0.0,0.0,0.0,7144,3864,2494
5,ESM-2 650M,0.9020609893852773,0.0,1.0,0.0,0.0,7144,3864,2494
5,ESM-1b 650M,0.9247520069672591,0.0,0.0,1.0,0.0,7144,3864,2494
5,CaLM,0.8339902216933545,0.0,0.0,0.0,1.0,7144,3864,2494
5,ESM-2 150M + ESM-2 650M,0.9027424097403661,0.16000000000000003,0.84,0.0,0.0,7144,3864,2494
5,ESM-2 650M + ESM-1b 650M,0.9349676212156488,0.0,0.38,0.62,0.0,7144,3864,2494
5,ESM-2 150M + ESM-1b 650M,0.9274159919290168,0.25,0.0,0.75,0.0,7144,3864,2494
5,ESM-2 150M + CaLM,0.8760917815660813,0.48,0.0,0.0,0.52,7144,3864,2494
5,ESM-2 650M + CaLM,0.9152094057997257,0.0,0.54,0.0,0.46,7144,3864,2494
5,ESM-1b 650M + CaLM,0.9304545964077227,0.0,0.0,0.64,0.36,7144,3864,2494
5,ESM-2 650M + ESM-1b 650M + CaLM,0.9373610644040322,0.0,0.25,0.5,0.25,7144,3864,2494
6,ESM-2 150M,0.840772262031025,1.0,0.0,0.0,0.0,7144,3857,2494
6,ESM-2 650M,0.8925844823274784,0.0,1.0,0.0,0.0,7144,3857,2494
6,ESM-1b 650M,0.929292366194997,0.0,0.0,1.0,0.0,7144,3857,2494
6,CaLM,0.8426819635943469,0.0,0.0,0.0,1.0,7144,3857,2494
6,ESM-2 150M + ESM-2 650M,0.893675142923662,0.16000000000000003,0.84,0.0,0.0,7144,3857,2494
6,ESM-2 650M + ESM-1b 650M,0.9354750325512412,0.0,0.38,0.62,0.0,7144,3857,2494
6,ESM-2 150M + ESM-1b 650M,0.9316249752093196,0.25,0.0,0.75,0.0,7144,3857,2494
6,ESM-2 150M + CaLM,0.8802671357494547,0.48,0.0,0.0,0.52,7144,3857,2494
6,ESM-2 650M + CaLM,0.9136837657690284,0.0,0.55,0.0,0.45,7144,3857,2494
6,ESM-1b 650M + CaLM,0.9358681049572737,0.0,0.0,0.64,0.36,7144,3857,2494
6,ESM-2 650M + ESM-1b 650M + CaLM,0.9390552810616446,0.0,0.30000000000000004,0.45,0.24999999999999994,7144,3857,2494
7,ESM-2 150M,0.8299726114841988,1.0,0.0,0.0,0.0,7143,3849,2493
7,ESM-2 650M,0.8863901073543556,0.0,1.0,0.0,0.0,7143,3849,2493
7,ESM-1b 650M,0.9178837087932231,0.0,0.0,1.0,0.0,7143,3849,2493
7,CaLM,0.8418375753184184,0.0,0.0,0.0,1.0,7143,3849,2493
7,ESM-2 150M + ESM-2 650M,0.8875179103640731,0.15000000000000002,0.85,0.0,0.0,7143,3849,2493
7,ESM-2 650M + ESM-1b 650M,0.9265144986607662,0.0,0.38,0.62,0.0,7143,3849,2493
7,ESM-2 150M + ESM-1b 650M,0.9208409783954212,0.25,0.0,0.75,0.0,7143,3849,2493
7,ESM-2 150M + CaLM,0.8744546666149089,0.48,0.0,0.0,0.52,7143,3849,2493
7,ESM-2 650M + CaLM,0.907372039560231,0.0,0.55,0.0,0.45,7143,3849,2493
