ensemble,component,n_folds,mean_training_score_sd,sd_training_score_sd,mean_raw_weight,sd_raw_weight,mean_standardized_equivalent_weight,sd_standardized_equivalent_weight,mean_weight_difference,max_heldout_affine_equivalence_error,raw_weight_mean_sd,standardized_weight_mean_sd
ESM-2 150M + ESM-2 650M,ESM-2 150M,10,2.862129365339532,0.010498697031089549,0.15599999999999997,0.009660917830792924,0.12737430485648912,0.0083089756687148,-0.028625695143510856,1.3322676295501878e-15,0.156 (0.010),0.127 (0.008)
ESM-2 150M + ESM-2 650M,ESM-2 650M,10,3.624974088577035,0.006652270747029181,0.844,0.009660917830792917,0.8726256951435107,0.008308975668714795,0.028625695143510856,1.3322676295501878e-15,0.844 (0.010),0.873 (0.008)
ESM-2 650M + ESM-1b 650M,ESM-2 650M,10,3.624974088577035,0.006652270747029181,0.382,0.01032795558988645,0.32971431736583534,0.010082822209279049,-0.052285682634164665,1.7763568394002505e-15,0.382 (0.010),0.330 (0.010)
ESM-2 650M + ESM-1b 650M,ESM-1b 650M,10,4.555692456477609,0.014822581468652988,0.618,0.010327955589886457,0.6702856826341648,0.010082822209279047,0.05228568263416471,1.7763568394002505e-15,0.618 (0.010),0.670 (0.010)
ESM-2 150M + CaLM,ESM-2 150M,10,2.862129365339532,0.010498697031089549,0.481,0.009944289260117528,0.48404946034176166,0.010725877341443821,0.0030494603417616727,1.7763568394002505e-15,0.481 (0.010),0.484 (0.011)
ESM-2 150M + CaLM,CaLM,10,2.82738741105966,0.011506012016932425,0.519,0.009944289260117548,0.5159505396582383,0.010725877341443781,-0.003049460341761667,1.7763568394002505e-15,0.519 (0.010),0.516 (0.011)
ESM-2 650M + CaLM,ESM-2 650M,10,3.624974088577035,0.006652270747029181,0.545,0.007071067811865509,0.6056180813266476,0.007391123421441076,0.06061808132664752,1.3322676295501878e-15,0.545 (0.007),0.606 (0.007)
ESM-2 650M + CaLM,CaLM,10,2.82738741105966,0.011506012016932425,0.45499999999999996,0.007071067811865477,0.3943819186733524,0.00739112342144113,-0.06061808132664761,1.3322676295501878e-15,0.455 (0.007),0.394 (0.007)
ESM-1b 650M + CaLM,ESM-1b 650M,10,4.555692456477609,0.014822581468652988,0.641,0.005676462121975418,0.7420498602727702,0.005199719580881039,0.10104986027277016,1.3322676295501878e-15,0.641 (0.006),0.742 (0.005)
ESM-1b 650M + CaLM,CaLM,10,2.82738741105966,0.011506012016932425,0.359,0.005676462121975491,0.25795013972722985,0.00519971958088103,-0.10104986027277015,1.3322676295501878e-15,0.359 (0.006),0.258 (0.005)
ESM-2 650M + ESM-1b 650M + CaLM,ESM-2 650M,10,3.624974088577035,0.006652270747029181,0.27999999999999997,0.025819888974716106,0.2634385942418853,0.02556956984988723,-0.016561405758114687,1.7763568394002505e-15,0.280 (0.026),0.263 (0.026)
ESM-2 650M + ESM-1b 650M + CaLM,ESM-1b 650M,10,4.555692456477609,0.014822581468652988,0.465,0.02415229457698239,0.5494453938774544,0.025287133775972824,0.08444539387745431,1.7763568394002505e-15,0.465 (0.024),0.549 (0.025)
ESM-2 650M + ESM-1b 650M + CaLM,CaLM,10,2.82738741105966,0.011506012016932425,0.25499999999999995,0.01581138830084191,0.18711601188066035,0.012950893966547972,-0.06788398811933957,1.7763568394002505e-15,0.255 (0.016),0.187 (0.013)
