ensemble,fold,component,training_score_sd,raw_weight,standardized_equivalent_weight,weight_difference,max_heldout_affine_equivalence_error
ESM-2 150M + ESM-2 650M,1,ESM-2 150M,2.872090155897358,0.16,0.13098181701061393,-0.029018182989386077,8.881784197001252e-16
ESM-2 150M + ESM-2 650M,1,ESM-2 650M,3.6295820444660483,0.84,0.869018182989386,0.029018182989386077,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M,1,ESM-2 650M,3.6295820444660483,0.39,0.33784977441554687,-0.05215022558445315,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M,1,ESM-1b 650M,4.548040128163113,0.61,0.6621502255844532,0.05215022558445326,1.3322676295501878e-15
ESM-2 150M + CaLM,1,ESM-2 150M,2.872090155897358,0.49,0.4936243166133618,0.003624316613361822,8.881784197001252e-16
ESM-2 150M + CaLM,1,CaLM,2.8307418732223013,0.51,0.5063756833866382,-0.003624316613361822,8.881784197001252e-16
ESM-2 650M + CaLM,1,ESM-2 650M,3.6295820444660483,0.54,0.6008292056307747,0.06082920563077465,8.881784197001252e-16
ESM-2 650M + CaLM,1,CaLM,2.8307418732223013,0.46,0.39917079436922526,-0.06082920563077476,8.881784197001252e-16
ESM-1b 650M + CaLM,1,ESM-1b 650M,4.548040128163113,0.64,0.740683045851373,0.100683045851373,8.881784197001252e-16
ESM-1b 650M + CaLM,1,CaLM,2.8307418732223013,0.36,0.25931695414862704,-0.10068304585137294,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,1,ESM-2 650M,3.6295820444660483,0.3,0.28332660466600673,-0.016673395333993257,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,1,ESM-1b 650M,4.548040128163113,0.45,0.5325327069112044,0.08253270691120435,8.881784197001252e-16
ESM-2 650M + ESM-1b 650M + CaLM,1,CaLM,2.8307418732223013,0.2499999999999999,0.18414068842278888,-0.065859311577211,8.881784197001252e-16
ESM-2 150M + ESM-2 650M,2,ESM-2 150M,2.856681217176184,0.15,0.12207314818794794,-0.027926851812052053,1.3322676295501878e-15
ESM-2 150M + ESM-2 650M,2,ESM-2 650M,3.625536653065403,0.85,0.8779268518120521,0.027926851812052123,1.3322676295501878e-15
ESM-2 650M + ESM-1b 650M,2,ESM-2 650M,3.625536653065403,0.38,0.3275189573856514,-0.052481042614348605,1.1102230246251565e-15
ESM-2 650M + ESM-1b 650M,2,ESM-1b 650M,4.562551823257395,0.62,0.6724810426143487,0.052481042614348716,1.1102230246251565e-15
ESM-2 150M + CaLM,2,ESM-2 150M,2.856681217176184,0.48,0.48337401210784675,0.003374012107846769,1.3322676295501878e-15
ESM-2 150M + CaLM,2,CaLM,2.8183350664587574,0.52,0.5166259878921532,-0.0033740121078468244,1.3322676295501878e-15
ESM-2 650M + CaLM,2,ESM-2 650M,3.625536653065403,0.55,0.6112398128235801,0.06123981282358004,8.881784197001252e-16
