model,gene_wise_mean_auc,gene_wise_sd_auc,variant_wise_mean_auc,variant_wise_sd_auc,variant_minus_gene_mean_auc
ESM-2 150M,0.8369067371921648,0.021000486155446623,0.8363828504413245,0.006410850769605895,-0.0005238867508402523
ESM-2 650M,0.8931497921824849,0.010336466055814519,0.8927197679959166,0.006125483385884128,-0.0004300241865683452
ESM-1b 650M,0.9266562600301128,0.010428592908400187,0.9267211662709645,0.0048453975252156735,6.490624085164765e-05
CaLM,0.8398663524403508,0.020427781697212724,0.8404357919503838,0.004179054403388413,0.0005694395100329652
ESM-2 150M + ESM-2 650M,0.8938422956327274,0.01045137165530596,0.8934858425425525,0.006037446245647854,-0.0003564530901749574
ESM-2 650M + ESM-1b 650M,0.9344132370980782,0.006724599255908151,0.9343102259437632,0.004747920999999579,-0.00010301115431499142
ESM-2 150M + ESM-1b 650M,0.9290130011994625,0.009460529949430562,0.929086528084029,0.0047543434363816065,7.352688456652157e-05
ESM-2 150M + CaLM,0.8763286691286435,0.011959998458355894,0.8765681548500253,0.004658140744010648,0.00023948572138177138
ESM-2 650M + CaLM,0.911421479829982,0.0038992883083318387,0.911163243839803,0.004688454078041558,-0.0002582359901790454
ESM-1b 650M + CaLM,0.9326770282398161,0.010044306520010276,0.9327943056652372,0.004419064555378219,0.00011727742542111397
ESM-2 650M + ESM-1b 650M + CaLM,0.9374034675965011,0.0066432067521701695,0.9374340064274005,0.004287321194115533,3.0538830899429215e-05
