Gene,Transcript
A1BG,NM_130786.4
A1CF,NM_014576.4
A2M,NM_000014.6
A2ML1,NM_144670.6
A3GALT2,NM_001080438.1
A4GALT,NM_017436.7
A4GNT,NM_016161.3
AAAS,NM_015665.6
AACS,NM_023928.5
AADAC,NM_001086.3
AADACL2,NM_207365.4
AADACL4,NM_001013630.2
AAGAB,NM_024666.5
AAK1,NM_014911.5
AANAT,NM_001088.3
AAR2,NM_001271874.2
AARD,NM_001025357.3
AARS1,NM_001605.3
AARS2,NM_020745.4
AARSD1,NM_001261434.2
AASDH,NM_181806.4
AASS,NM_005763.4
AATK,NM_001080395.3
ABAT,NM_020686.6
ABCA1,NM_005502.4
ABCA10,NM_001377321.1
ABCA12,NM_173076.3
ABCA13,NM_152701.5
ABCA2,NM_001606.5
ABCA3,NM_001089.3
ABCA4,NM_000350.3
ABCA5,NM_172232.4
ABCA6,NM_080284.3
ABCA7,NM_019112.4
ABCA8,NM_001288985.2
ABCA9,NM_080283.4
ABCB1,NM_001348946.2
ABCB10,NM_012089.3
ABCB11,NM_003742.4
ABCB4,NM_000443.4
ABCB5,NM_001163941.2
ABCB6,NM_005689.4
ABCB7,NM_001271696.3
ABCB8,NM_007188.5
ABCB9,NM_019625.4
ABCC1,NM_004996.4
ABCC10,NM_001198934.2
ABCC11,NM_001370497.1
ABCC12,NM_001393797.1
ABCC2,NM_000392.5
ABCC3,NM_003786.4
ABCC4,NM_005845.5
ABCC5,NM_005688.4
ABCC6,NM_001171.6
ABCC8,NM_000352.6
ABCC9,NM_020297.4
ABCD1,NM_000033.4
ABCD2,NM_005164.4
ABCD3,NM_002858.4
ABCD4,NM_005050.4
ABCE1,NM_002940.3
ABCF1,NM_001025091.2
ABCF3,NM_018358.3
ABCG1,NM_016818.3
ABCG2,NM_004827.3
ABCG4,NM_022169.5
ABCG5,NM_022436.3
ABCG8,NM_022437.3
ABHD1,NM_032604.4
ABHD10,NM_018394.4
ABHD11,NM_148912.4
ABHD12,NM_001042472.3
ABHD12B,NM_001206673.2
ABHD13,NM_032859.3
ABHD14A,NM_015407.5
ABHD14B,NM_001146314.2
ABHD15,NM_198147.3
ABHD16A,NM_021160.3
ABHD16B,NM_080622.4
ABHD17A,NM_001130111.2
ABHD5,NM_016006.6
ABI3,NM_016428.3
ABI3BP,NM_001375547.2
ABL1,NM_005157.6
ABL2,NM_007314.4
ABLIM2,NM_001130083.2
ABO,NM_020469.3
ABR,NM_001322841.2
ABRA,NM_139166.5
ABRAXAS1,NM_139076.3
ABTB1,NM_172027.3
ABTB2,NM_145804.3
ABTB3,NM_001018072.2
ACAA1,NM_001607.4
ACAA2,NM_006111.3
ACACA,NM_198834.3
ACACB,NM_001093.4
ACAD10,NM_025247.6
ACAD11,NM_032169.5
ACAD8,NM_014384.3
ACAD9,NM_014049.5
ACADL,NM_001608.4
ACADM,NM_000016.6
ACADS,NM_000017.4
ACADSB,NM_001609.4
ACADVL,NM_000018.4
ACAN,NM_001369268.1
ACAP3,NM_030649.3
ACAT1,NM_000019.4
ACAT2,NM_005891.3
ACBD4,NM_001135705.3
ACBD5,NM_145698.5
