,Pair,Count_overall,Count_clm,Count_plm,Freq_overall,Freq_clm,Freq_plm,BR_clm,BR_plm,pvalue_clm_raw,pvalue_clm_corrected,significant_clm,pvalue_plm_raw,pvalue_plm_corrected,significant_plm
0,"('R', 'P')",873,79,166,0.006356024754277393,0.008889388995161472,0.014389736477115118,1.398576836753068,2.2639522395552825,0.0003053689058940317,0.0010906032353358273,True,2.347011874197128e-35,2.347011874197128e-34,True
1,"('R', 'T')",252,19,27,0.0018347287950491445,0.0021379543152919996,0.002340499306518724,1.1652699412910958,1.2756649990093125,0.4008420046632143,0.5274236903463346,False,0.10022717026812962,0.13187785561596002,False
2,"('M', 'L')",592,34,107,0.004310156534401165,0.0038258129852593676,0.009275312066574202,0.8876273877117807,2.15196640598643,0.7979950320842685,0.8866611467602983,False,1.0485302500891567e-20,7.489501786351119e-20,True
3,"('I', 'R')",48,3,14,0.00034947215143793227,0.00033757173399347364,0.0012135922330097086,0.9659474513334085,3.4726436084142396,1.0,1.0,False,1.2858377595031203e-07,3.2690790495842045e-07,True
4,"('V', 'L')",1226,75,98,0.00892610120131052,0.00843929334983684,0.00849514563106796,0.9454624319739723,0.9517196186192368,1.0,1.0,False,0.7932287119811954,0.8320580894907643,False
5,"('S', 'L')",1396,91,94,0.01016381507098653,0.010239675931135367,0.008148404993065187,1.0074638174365635,0.8017073250698449,0.5277960418011353,0.659745052251419,False,0.16730516363242004,0.21088886172153787,False
6,"('F', 'V')",184,31,36,0.0013396432471787405,0.003488241251265894,0.0031206657420249652,2.603858347072666,2.3294752155822227,2.4696127945782713e-09,2.1790701128631807e-08,True,4.637245731863846e-09,1.4799720420842062e-08,True
7,"('P', 'Q')",291,18,12,0.0021186749180924645,0.0020254304039608417,0.0010402219140083217,0.9559892301856413,0.49097759412042263,1.0,1.0,False,0.027420905065313743,0.040324860390167264,False
8,"('Y', 'F')",159,4,6,0.0011576265016381506,0.0004500956453246315,0.0005201109570041609,0.38880903701470526,0.4492908172611415,0.08639882296382664,0.16404839803258225,False,0.08411108719997022,0.1136636313513111,False
9,"('I', 'L')",347,13,26,0.0025263924281033853,0.0014628108473050522,0.0022538141470180304,0.579011728753167,0.8921077034378285,0.08776557863474863,0.16456045994015367,False,0.9373570421154784,0.9564867776688556,False
