gene,rank_by_calm_weight,esm2_calm_weight,n,n_pathogenic,n_benign,rank_by_cross_modal_gain,esm2_cross_modal_gain
FOXG1,1,0.976,145,75,70,17,0.12
IRF2BPL,2,0.976,18,5,13,2,0.2307692307692308
SH3BP2,3,0.968,16,6,10,1,0.3166666666666667
FOXP3,5,0.952,39,17,22,4,0.2058823529411764
TFE3,6,0.938,21,11,10,3,0.2090909090909091
FH,8,0.924,106,101,5,7,0.1683168316831683
EZH2,9,0.918,49,27,22,8,0.1616161616161616
MMACHC,10,0.918,25,20,5,6,0.17
PTPN11,11,0.912,99,91,8,19,0.1057692307692308
PDE4D,16,0.8460000000000001,22,13,9,9,0.1538461538461537
SOX5,17,0.8220000000000001,28,16,12,20,0.1041666666666667
