gene,n_grid,n_pathogenic_grid,n_benign_grid,protein_length,ESM-2 150M AUROC,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,ESM-2 150M + 650M AUROC,ESM-2 150M + 650M weight_second,ESM-2 650M + ESM-1b 650M AUROC,ESM-2 650M + ESM-1b 650M weight_second,ESM-2 650M + CaLM AUROC,ESM-2 650M + CaLM weight_second,ESM-2 150M + CaLM AUROC,ESM-2 150M + CaLM weight_second,ESM-1b 650M + CaLM AUROC,ESM-1b 650M + CaLM weight_second,650M_minus_150M,150M650M_minus_650M,650M1b_minus_650M,650MCaLM_minus_650M,1bCaLM_minus_1b,650MCaLM_minus_150M650M,650MCaLM_minus_650M1b,codon_dependency_index,delta_delta_auroc,independent_calm_minus_650m,inverse_variance_weight,n_bayes,n_pathogenic_bayes,n_benign_bayes,optimizer,esm2_calm_weight,esm2_calm_auc,esm2_150m_650m_weight_second,esm2_150m_650m_auc,esm1b_calm_weight,esm1b_calm_auc,esm2_650m_auc,esm1b_650m_auc,calm_auc,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_gain_over_protein,esm1b_gain_over_protein,esm2_independent_calm_signal,esm1b_independent_calm_signal,n_objective_evals,esm2_calm_weight_bayes_minus_grid,cross_modal_gain_bayes_minus_grid,cross_modal_advantage_bayes_minus_grid
AARS1,27,10,17,968,0.8058823529411765,0.9823529411764704,0.9529411764705882,0.8529411764705882,0.9823529411764704,0.77,1.0,0.17,0.988235294117647,0.02,0.9294117647058824,0.37,0.9529411764705882,0.0,0.176470588235294,0.0,0.0176470588235294,0.0058823529411764,0.0,0.0058823529411764,-0.011764705882353,0.02,0.0058823529411764,-0.1294117647058823,6.296296296296297,27,10,17,bayes,0.057,0.988235294117647,1.0,0.9823529411764705,0.0,0.9529411764705882,0.9823529411764705,0.9529411764705882,0.8529411764705882,0.00588235294117645,0.00588235294117645,0.00588235294117645,0.0,-0.12941176470588234,-0.09999999999999998,90,0.037000000000000005,4.9439619065339e-17,4.9439619065339e-17
AARS2,26,13,13,985,0.9230769230769232,0.9289940828402368,0.940828402366864,0.893491124260355,0.9289940828402368,0.48,0.9585798816568049,0.64,0.9349112426035504,0.1,0.9349112426035504,0.21,0.9526627218934912,0.15,0.0059171597633135,0.0,0.029585798816568,0.0059171597633136,0.0118343195266271,0.0059171597633136,-0.0236686390532544,0.1,0.0059171597633136,-0.0355029585798816,6.5,26,13,13,bayes,0.5,0.9349112426035503,1.0,0.9289940828402367,0.245,0.9526627218934911,0.9289940828402367,0.9408284023668639,0.893491124260355,0.00591715976331364,0.00591715976331364,0.00591715976331364,0.011834319526627168,-0.035502958579881616,-0.047337278106508895,90,0.4,3.9898639947466563e-17,3.9898639947466563e-17
ABCB7,19,6,13,752,0.641025641025641,0.8333333333333334,0.8333333333333333,0.8461538461538463,0.8333333333333334,0.94,0.8846153846153846,0.26,0.8846153846153846,0.4,0.8461538461538463,0.89,0.8846153846153847,0.56,0.1923076923076924,0.0,0.0512820512820512,0.0512820512820512,0.0512820512820514,0.0512820512820512,0.0,0.4,0.0512820512820512,0.0128205128205128,4.105263157894737,19,6,13,bayes,0.5,0.8846153846153846,1.0,0.8333333333333334,0.625,0.8846153846153847,0.8333333333333334,0.8333333333333333,0.8461538461538463,0.05128205128205121,0.05128205128205121,0.05128205128205121,0.05128205128205143,0.012820512820512886,0.012820512820512997,90,0.09999999999999998,1.3877787807814457e-17,1.3877787807814457e-17
ABCD1,219,159,60,745,0.8858490566037736,0.9534591194968552,0.9773584905660376,0.94916142557652,0.9535639412997904,0.96,0.9778825995807128,0.97,0.9684486373165618,0.5,0.9555555555555556,0.76,0.9787211740041928,0.18,0.0676100628930816,0.0001048218029351,0.0244234800838575,0.0149895178197065,0.0013626834381551,0.0148846960167714,-0.0094339622641509,0.5,0.0148846960167714,-0.0042976939203352,43.56164383561644,219,159,60,bayes,0.5,0.9684486373165618,0.9590000000000001,0.9535639412997904,0.15,0.9786163522012579,0.9534591194968552,0.9773584905660377,0.94916142557652,0.014989517819706588,0.014884696016771448,0.014989517819706588,0.0012578616352201255,-0.004297693920335299,-0.028197064989517795,90,0.0,8.847089727481716e-17,4.85722573273506e-17
ACAD9,24,13,11,621,0.993006993006993,0.944055944055944,0.8601398601398602,0.8391608391608392,0.993006993006993,0.0,0.951048951048951,0.12,0.951048951048951,0.39,0.993006993006993,0.0,0.916083916083916,0.36,-0.0489510489510489,0.0489510489510489,0.0069930069930069,0.0069930069930069,0.0559440559440558,-0.0419580419580419,0.0,0.39,-0.0419580419580419,-0.1048951048951049,5.958333333333333,24,13,11,bayes,0.444,0.951048951048951,0.0,0.993006993006993,0.36,0.916083916083916,0.9440559440559441,0.8601398601398602,0.8391608391608392,0.006993006993006978,-0.04195804195804198,0.006993006993006978,0.055944055944055826,-0.1048951048951049,-0.020979020979021046,90,0.05399999999999999,7.806255641895632e-17,-8.326672684688674e-17
ACADS,18,13,5,412,0.9230769230769232,0.9538461538461538,0.9076923076923076,0.8461538461538461,0.9692307692307692,0.46,0.9846153846153848,0.67,0.9538461538461538,0.0,0.9384615384615383,0.02,0.9230769230769232,0.19,0.0307692307692306,0.0153846153846154,0.0307692307692308,0.0,0.0153846153846154,-0.0153846153846154,-0.0307692307692308,0.0,-0.0153846153846154,-0.1076923076923076,3.611111111111111,18,13,5,bayes,0.0,0.9538461538461538,0.5,0.9692307692307692,0.326,0.9230769230769231,0.9538461538461538,0.9076923076923077,0.8461538461538461,0.0,-0.015384615384615441,0.0,0.015384615384615441,-0.10769230769230764,-0.06153846153846154,90,0.0,0.0,-4.163336342344337e-17
ACADVL,135,129,6,655,0.8914728682170543,0.9651162790697676,0.9819121447028424,0.8578811369509043,0.9651162790697676,1.0,0.9870801033591732,0.76,0.9702842377260982,0.25,0.9276485788113696,0.59,0.9857881136950905,0.18,0.0736434108527132,0.0,0.0219638242894056,0.0051679586563306,0.003875968992248,0.0051679586563306,-0.016795865633075,0.25,0.0051679586563306,-0.1072351421188632,5.733333333333333,135,129,6,bayes,0.323,0.9702842377260982,1.0,0.9651162790697675,0.457,0.9857881136950905,0.9651162790697675,0.9819121447028424,0.8578811369509043,0.0051679586563306845,0.0051679586563306845,0.0051679586563306845,0.003875968992248069,-0.1072351421188632,-0.1240310077519381,90,0.07300000000000001,8.413408858487514e-17,8.413408858487514e-17
ACTN4,19,9,10,911,0.9111111111111112,0.9666666666666668,0.9111111111111112,1.0,0.9666666666666668,0.38,0.977777777777778,0.28,1.0,0.8200000000000001,1.0,0.9,1.0,0.71,0.0555555555555556,0.0,0.011111111111111,0.0333333333333332,0.0888888888888889,0.0333333333333332,0.0222222222222221,0.8200000000000001,0.0333333333333332,0.0333333333333332,4.7368421052631575,19,9,10,bayes,1.0,1.0,1.0,0.9666666666666668,1.0,1.0,0.9666666666666668,0.9111111111111111,1.0,0.033333333333333215,0.033333333333333215,0.033333333333333215,0.0888888888888889,0.033333333333333215,0.0888888888888889,90,0.17999999999999994,1.3877787807814457e-17,1.3877787807814457e-17
ACVRL1,159,149,10,503,0.8691275167785235,0.876510067114094,0.9483221476510066,0.8174496644295302,0.8838926174496644,0.35,0.948993288590604,0.91,0.8798657718120806,0.17,0.876510067114094,0.14,0.9483221476510068,0.01,0.0073825503355704,0.0073825503355704,0.0724832214765101,0.0033557046979866,1.1102230246251563e-16,-0.0040268456375838,-0.0691275167785234,0.17,-0.0040268456375838,-0.0590604026845638,9.371069182389936,159,149,10,bayes,0.291,0.8798657718120806,0.327,0.8832214765100671,0.011,0.9489932885906041,0.876510067114094,0.9483221476510066,0.8174496644295302,0.003355704697986628,-0.003355704697986517,0.003355704697986628,0.0006711409395974144,-0.059060402684563806,-0.1308724832214765,90,0.12099999999999997,2.7755575615628914e-17,0.0006711409395972834
ADA,37,28,9,363,0.9206349206349206,0.9841269841269842,0.9722222222222222,0.8174603174603174,0.988095238095238,0.85,0.992063492063492,0.3,0.9841269841269842,0.0,0.9365079365079364,0.11,0.9722222222222222,0.0,0.0634920634920636,0.0039682539682539,0.0079365079365077,0.0,0.0,-0.0039682539682539,-0.0079365079365077,0.0,-0.0039682539682539,-0.1666666666666667,6.8108108108108105,37,28,9,bayes,0.0,0.9841269841269842,0.922,0.9880952380952381,0.0,0.9722222222222222,0.9841269841269842,0.9722222222222222,0.8174603174603174,0.0,-0.003968253968253954,0.0,0.0,-0.16666666666666674,-0.15476190476190477,90,0.0,0.0,-5.377642775528102e-17
ADAMTSL2,11,6,5,951,1.0,1.0,1.0,0.9333333333333332,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0666666666666666,2.727272727272727,11,6,5,bayes,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.0,-0.06666666666666665,-0.06666666666666665,90,0.0,0.0,0.0
