gene,n,n_pathogenic,n_benign,protein_length,nested_cv_splits,ESM-2 150M AUROC,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,ESM-2 150M + 650M AUROC,ESM-2 150M + 650M weight_second,ESM-2 150M + 650M weight_second_sd,ESM-2 150M + 650M mean_train_auc_at_selected_weights,ESM-2 150M + 650M n_outer_folds,ESM-2 650M + ESM-1b 650M AUROC,ESM-2 650M + ESM-1b 650M weight_second,ESM-2 650M + ESM-1b 650M weight_second_sd,ESM-2 650M + ESM-1b 650M mean_train_auc_at_selected_weights,ESM-2 650M + ESM-1b 650M n_outer_folds,ESM-2 650M + CaLM AUROC,ESM-2 650M + CaLM weight_second,ESM-2 650M + CaLM weight_second_sd,ESM-2 650M + CaLM mean_train_auc_at_selected_weights,ESM-2 650M + CaLM n_outer_folds,ESM-2 150M + CaLM AUROC,ESM-2 150M + CaLM weight_second,ESM-2 150M + CaLM weight_second_sd,ESM-2 150M + CaLM mean_train_auc_at_selected_weights,ESM-2 150M + CaLM n_outer_folds,ESM-1b 650M + CaLM AUROC,ESM-1b 650M + CaLM weight_second,ESM-1b 650M + CaLM weight_second_sd,ESM-1b 650M + CaLM mean_train_auc_at_selected_weights,ESM-1b 650M + CaLM n_outer_folds,650M_minus_150M,150M650M_minus_650M,650M1b_minus_650M,650MCaLM_minus_650M,1bCaLM_minus_1b,650MCaLM_minus_150M650M,650MCaLM_minus_650M1b,codon_dependency_index,delta_delta_auroc,independent_calm_minus_650m,inverse_variance_weight,esm2_calm_weight,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_gain_over_protein,esm2_independent_calm_signal,esm1b_calm_weight,esm1b_gain_over_protein,esm1b_independent_calm_signal,esm2_codon_rank,esm2_gain_rank,esm1b_codon_rank,esm1b_gain_rank,esm2_top_codon_weight_decile,esm2_top_cross_modal_gain_decile,esm1b_top_codon_weight_decile,esm1b_top_gain_decile
AARS1,27,10,17,968,5,0.8058823529411765,0.9823529411764704,0.9529411764705882,0.8529411764705882,0.9705882352941176,0.6900000000000001,0.1097724920005007,0.981456043956044,5,0.9823529411764704,0.136,0.0760263112349928,1.0,5,0.9823529411764704,0.012,0.0109544511501033,0.988736263736264,5,0.8294117647058824,0.316,0.1152388823271034,0.9282967032967032,5,0.9411764705882352,0.148,0.1411382301150188,0.9619505494505496,5,0.176470588235294,-0.0117647058823529,0.0,0.0,-0.0117647058823529,0.0117647058823529,0.0,0.012,0.0117647058823529,-0.1294117647058823,6.296296296296297,0.012,0.0,0.0117647058823529,0.0,-0.12941176470588223,0.148,-0.0117647058823529,-0.09999999999999998,348,155,266,342,False,False,False,False
AARS2,26,13,13,985,5,0.9230769230769232,0.9289940828402368,0.940828402366864,0.893491124260355,0.9112426035502958,0.288,0.2629068276024797,0.9309090909090908,5,0.9467455621301776,0.512,0.2862167011199731,0.9580000000000002,5,0.9289940828402368,0.06,0.0547722557505166,0.9365454545454546,5,0.9171597633136096,0.13,0.1097724920005007,0.9367272727272729,5,0.9349112426035504,0.0999999999999999,0.0707106781186547,0.957090909090909,5,0.0059171597633135,-0.0177514792899408,0.0177514792899408,0.0,-0.0059171597633136,0.0177514792899408,-0.0177514792899408,0.06,0.0177514792899408,-0.0355029585798816,6.5,0.06,0.0,0.0177514792899408,0.0,-0.03550295857988173,0.0999999999999999,-0.0059171597633136,-0.047337278106509006,317,156,291,321,False,False,False,False
ABCB7,19,6,13,752,5,0.641025641025641,0.8333333333333334,0.8333333333333333,0.8461538461538463,0.8076923076923077,0.8119999999999999,0.1819890106572372,0.8403636363636364,5,0.8461538461538461,0.258,0.2408734107368433,0.8934545454545454,5,0.8717948717948718,0.3299999999999999,0.0974679434480896,0.8852727272727272,5,0.8205128205128205,0.6860000000000002,0.1930802941783547,0.860909090909091,5,0.8205128205128205,0.448,0.2504396134799764,0.8894545454545455,5,0.1923076923076924,-0.0256410256410256,0.0128205128205127,0.0384615384615384,-0.0128205128205127,0.0641025641025641,0.0256410256410256,0.3299999999999999,0.0641025641025641,0.0128205128205128,4.105263157894737,0.3299999999999999,0.0384615384615384,0.0641025641025641,0.0384615384615384,0.012820512820512886,0.448,-0.0128205128205127,0.012820512820512997,169,55,101,346,False,False,False,False
ABCD1,219,159,60,745,5,0.8858490566037736,0.9534591194968552,0.9773584905660376,0.94916142557652,0.9523060796645704,0.968,0.0370135110466434,0.9539664841699476,5,0.9763102725366876,0.912,0.0746324326281811,0.9779594201115483,5,0.9666666666666668,0.458,0.0584807660688537,0.9683752665682416,5,0.9459119496855346,0.7300000000000001,0.1187434208703791,0.9563484251968504,5,0.978825995807128,0.1659999999999999,0.0350713558335003,0.9788767737040682,5,0.0676100628930816,-0.0011530398322849,0.0228511530398324,0.0132075471698114,0.0014675052410901,0.0143605870020964,-0.009643605870021,0.458,0.0143605870020964,-0.0042976939203352,43.56164383561644,0.458,0.0132075471698114,0.0143605870020964,0.0132075471698114,-0.004297693920335299,0.1659999999999999,0.0014675052410901,-0.028197064989517684,114,109,253,102,False,False,False,False
ACAD9,24,13,11,621,5,0.993006993006993,0.944055944055944,0.8601398601398602,0.8391608391608392,0.993006993006993,0.056,0.1252198067399882,0.9957575757575756,5,0.951048951048951,0.144,0.1314534138012398,0.9522222222222222,5,0.93006993006993,0.246,0.2258982071642004,0.9562626262626264,5,0.993006993006993,0.0,0.0,0.9934848484848484,5,0.8601398601398601,0.452,0.2094516650685785,0.9219696969696968,5,-0.0489510489510489,0.0489510489510489,0.0069930069930069,-0.0139860139860139,-1.1102230246251563e-16,-0.0629370629370629,-0.0209790209790209,0.246,-0.0629370629370629,-0.1048951048951049,5.958333333333333,0.246,-0.0139860139860139,-0.0629370629370629,-0.0139860139860139,-0.10489510489510478,0.452,-1.1102230246251563e-16,-0.020979020979021046,210,372,98,255,False,False,False,False
ACADS,18,13,5,412,5,0.9230769230769232,0.9538461538461538,0.9076923076923076,0.8461538461538461,0.9384615384615383,0.352,0.1861988184710096,0.9713636363636364,5,0.953846153846154,0.466,0.3013801586037143,0.9809090909090912,5,0.9230769230769232,0.094,0.2101903898849802,0.9527272727272728,5,0.8153846153846154,0.156,0.3266190441477655,0.946818181818182,5,0.8769230769230769,0.114,0.1040672859259815,0.931818181818182,5,0.0307692307692306,-0.0153846153846153,1.1102230246251563e-16,-0.0307692307692306,-0.0307692307692307,-0.0153846153846153,-0.0307692307692307,0.094,-0.0153846153846153,-0.1076923076923076,3.611111111111111,0.094,-0.0307692307692306,-0.0153846153846153,-0.0307692307692306,-0.10769230769230764,0.114,-0.0307692307692307,-0.06153846153846143,295,415,283,400,False,False,False,False
ACADVL,135,129,6,655,5,0.8914728682170543,0.9651162790697676,0.9819121447028424,0.8578811369509043,0.954780361757106,0.742,0.1693221781102523,0.9676194921583272,5,0.9857881136950905,0.736,0.0536656314599949,0.98779499626587,5,0.9560723514211886,0.274,0.1678689965419463,0.973574495892457,5,0.9250645994832042,0.538,0.0506951674225463,0.9277501867064972,5,0.979328165374677,0.1639999999999999,0.1285690475970013,0.9877949962658702,5,0.0736434108527132,-0.0103359173126615,0.0206718346253229,-0.0090439276485788,-0.0025839793281653,0.0012919896640827,-0.0297157622739018,0.274,0.0012919896640827,-0.1072351421188632,5.733333333333333,0.274,-0.0090439276485788,0.0012919896640827,-0.0090439276485788,-0.10723514211886331,0.1639999999999999,-0.0025839793281653,-0.1240310077519381,187,355,255,299,False,False,False,False
ACTN4,19,9,10,911,5,0.9111111111111112,0.9666666666666668,0.9111111111111112,1.0,0.9222222222222224,0.32,0.0997496867163,0.9683035714285716,5,0.9777777777777776,0.168,0.1533623161014465,0.9785714285714286,5,0.9777777777777776,0.5640000000000001,0.3540197734590541,1.0,5,0.9444444444444444,0.724,0.2492589015461634,1.0,5,0.9333333333333332,0.454,0.354019773459054,1.0,5,0.0555555555555556,-0.0444444444444445,0.0111111111111109,0.0111111111111109,0.0222222222222222,0.0555555555555554,0.0,0.5640000000000001,0.0555555555555554,0.0333333333333332,4.7368421052631575,0.5640000000000001,0.0111111111111109,0.0555555555555554,0.0111111111111109,0.033333333333333215,0.454,0.0222222222222222,0.0888888888888888,75,116,97,49,False,False,False,False
ACVRL1,159,149,10,503,5,0.8691275167785235,0.876510067114094,0.9483221476510066,0.8174496644295302,0.8751677852348994,0.38,0.0956556323485449,0.8851190476190476,5,0.934228187919463,0.826,0.1184483009586883,0.9526172969187676,5,0.8751677852348994,0.274,0.1087658034494298,0.8813427871148459,5,0.87248322147651,0.142,0.053103672189407,0.8775525210084034,5,0.9375838926174496,0.062,0.1167047556871612,0.9496708683473388,5,0.0073825503355704,-0.0013422818791946,0.057718120805369,-0.0013422818791946,-0.0107382550335569,0.0,-0.0590604026845636,0.274,0.0,-0.0590604026845638,9.371069182389936,0.274,-0.0013422818791946,0.0,-0.0013422818791946,-0.059060402684563806,0.062,-0.0107382550335569,-0.1308724832214765,188,317,314,339,False,False,False,False
ADA,37,28,9,363,5,0.9206349206349206,0.9841269841269842,0.9722222222222222,0.8174603174603174,0.988095238095238,0.8119999999999999,0.0794984276574071,0.9886998870694524,5,0.984126984126984,0.184,0.1589968553148143,0.9911349520045172,5,0.984126984126984,0.0,0.0,0.9839356295878036,5,0.9126984126984128,0.1599999999999999,0.1491643389017629,0.939659796725014,5,0.9722222222222222,0.0,0.0,0.972861377752682,5,0.0634920634920636,0.0039682539682539,-1.1102230246251563e-16,-1.1102230246251563e-16,0.0,-0.003968253968254,0.0,0.0,-0.003968253968254,-0.1666666666666667,6.8108108108108105,0.0,-1.1102230246251563e-16,-0.003968253968254,-1.1102230246251563e-16,-0.16666666666666674,0.0,0.0,-0.15476190476190477,355,294,348,119,False,False,False,False
ADAMTSL2,11,6,5,951,5,1.0,1.0,1.0,0.9333333333333332,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0666666666666666,2.727272727272727,0.0,0.0,0.0,0.0,-0.06666666666666676,0.0,0.0,-0.06666666666666676,356,157,349,120,False,False,False,False
ADGRG1,21,9,12,687,5,0.8333333333333333,0.7129629629629629,0.75,0.8055555555555556,0.8333333333333334,0.0,0.0,0.8304761904761904,5,0.6851851851851852,0.61,0.3633868462121324,0.7654761904761905,5,0.8055555555555556,0.786,0.1273970172335286,0.8216666666666667,5,0.7962962962962963,0.198,0.1769745744450315,0.8732539682539683,5,0.6666666666666666,0.5900000000000001,0.4457016939613311,0.8307142857142857,5,-0.1203703703703703,0.1203703703703704,-0.0277777777777776,0.0925925925925926,-0.0833333333333333,-0.0277777777777777,0.1203703703703703,0.786,-0.0277777777777777,0.0925925925925926,5.142857142857143,0.786,0.0925925925925926,-0.0277777777777777,0.0925925925925926,0.09259259259259267,0.5900000000000001,-0.0833333333333333,0.05555555555555558,21,25,47,454,True,True,True,False
AFG3L2,27,20,7,797,5,0.65,0.8142857142857143,0.8928571428571428,0.8785714285714286,0.8071428571428572,0.882,0.0383405790253616,0.8120833333333334,5,0.9142857142857144,0.582,0.1066302021005305,0.91625,5,0.8642857142857143,0.7899999999999999,0.142828568570857,0.905,5,0.8714285714285714,0.9239999999999998,0.0909945053286186,0.8825000000000001,5,0.9357142857142856,0.462,0.1213260071048248,0.9491666666666668,5,0.1642857142857142,-0.0071428571428571,0.0999999999999999,0.05,0.0428571428571429,0.0571428571428571,-0.0499999999999999,0.7899999999999999,0.0571428571428571,0.0642857142857142,5.185185185185185,0.7899999999999999,0.05,0.0571428571428571,0.05,0.06428571428571428,0.462,0.0428571428571429,-0.014285714285714235,19,39,89,26,True,True,False,True
AIFM1,31,16,15,613,5,0.7916666666666667,0.9083333333333332,0.8208333333333333,0.8333333333333334,0.8958333333333334,0.8400000000000001,0.0848528137423856,0.9133547008547008,5,0.9,0.014,0.031304951684997,0.9114316239316238,5,0.9083333333333332,0.098,0.1277497553813705,0.9112179487179488,5,0.8208333333333333,0.656,0.1902104098097683,0.8534188034188034,5,0.8458333333333333,0.634,0.1558204094462596,0.8713675213675213,5,0.1166666666666665,-0.0124999999999999,-0.0083333333333333,0.0,0.025,0.0124999999999999,0.0083333333333333,0.098,0.0124999999999999,-0.0749999999999999,7.741935483870968,0.098,0.0,0.0124999999999999,0.0,-0.07499999999999984,0.634,0.025,0.012500000000000067,292,158,39,45,False,False,True,True
AIRE,36,25,11,545,5,0.7236363636363637,0.9781818181818182,0.9636363636363636,0.7527272727272728,0.96,0.858,0.1947305831142093,0.9806944444444444,5,0.9781818181818182,0.144,0.1725688268488837,0.9944444444444444,5,0.9781818181818182,0.0,0.0,0.9783333333333332,5,0.7745454545454545,0.678,0.0044721359549995,0.7788888888888889,5,0.9163636363636364,0.366,0.2188149903457256,0.9819444444444444,5,0.2545454545454544,-0.0181818181818181,0.0,0.0,-0.0472727272727272,0.0181818181818181,0.0,0.0,0.0181818181818181,-0.2254545454545453,7.638888888888889,0.0,0.0,0.0181818181818181,0.0,-0.22545454545454535,0.366,-0.0472727272727272,-0.21090909090909082,357,159,144,424,False,False,False,False
AK2,10,5,5,239,5,1.0,1.0,0.96,0.96,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,0.92,0.368,0.2057182539299806,1.0,5,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,-0.0399999999999999,2.5,0.0,0.0,0.0,0.0,-0.040000000000000036,0.368,-0.04,0.0,358,160,142,413,False,False,False,False
ALAS2,21,15,6,587,5,0.6111111111111112,0.7222222222222222,0.9444444444444444,0.8222222222222223,0.7111111111111111,0.954,0.0527257053058562,0.7283333333333333,5,0.9222222222222224,0.812,0.1386362146049869,0.9441666666666666,5,0.7777777777777778,0.588,0.1804716044146557,0.8275,5,0.8,0.5419999999999999,0.0914877040918614,0.8458333333333332,5,0.8888888888888888,0.16,0.2646696053573209,0.9533333333333334,5,0.111111111111111,-0.011111111111111,0.2,0.0555555555555555,-0.0555555555555555,0.0666666666666666,-0.1444444444444445,0.588,0.0666666666666666,0.1,4.285714285714286,0.588,0.0555555555555555,0.0666666666666666,0.0555555555555555,0.10000000000000009,0.16,-0.0555555555555555,-0.12222222222222212,69,35,258,433,False,True,False,False
ALDH18A1,28,18,10,795,5,0.7388888888888889,0.7722222222222221,0.9388888888888888,0.7555555555555555,0.75,0.516,0.2475479751482528,0.7982142857142857,5,0.9333333333333332,0.8540000000000001,0.1178134118001851,0.9447619047619048,5,0.7611111111111111,0.296,0.1363084736911099,0.8066666666666666,5,0.7222222222222222,0.386,0.3396763165132359,0.7878571428571428,5,0.9388888888888888,0.0,0.0,0.9375,5,0.0333333333333332,-0.0222222222222221,0.1611111111111112,-0.011111111111111,0.0,0.011111111111111,-0.1722222222222222,0.296,0.011111111111111,-0.0166666666666666,6.428571428571429,0.296,-0.011111111111111,0.011111111111111,-0.011111111111111,-0.016666666666666607,0.0,0.0,-0.18333333333333324,181,362,350,121,False,False,False,False
ALDH3A2,26,19,7,485,5,1.0,0.9774436090225564,0.9924812030075189,0.9924812030075189,1.0,0.0,0.0,1.0,5,1.0,0.078,0.0438178046004132,1.0,5,0.9849624060150376,0.156,0.0760263112349928,0.9928888888888888,5,1.0,0.0,0.0,1.0,5,0.9924812030075189,0.024,0.0219089023002066,1.0,5,-0.0225563909774435,0.0225563909774435,0.0225563909774435,0.0075187969924811,-1.1102230246251563e-16,-0.0150375939849624,-0.0150375939849624,0.156,-0.0150375939849624,0.0150375939849624,5.115384615384615,0.156,0.0075187969924811,-0.0150375939849624,0.0075187969924811,0.015037593984962405,0.024,-1.1102230246251563e-16,0.0,258,126,331,256,False,False,False,False
ALDH5A1,53,47,6,535,5,0.9148936170212766,0.9716312056737588,0.99645390070922,0.946808510638298,0.9609929078014184,0.616,0.319968748473972,0.9760312944523472,5,0.9858156028368794,0.3420000000000001,0.1520526224699857,1.0,5,0.9858156028368794,0.366,0.1264120247444838,0.9909103840682788,5,0.9361702127659576,0.608,0.2534166529650331,0.9622048364153628,5,0.99645390070922,0.006,0.0054772255750516,1.0,5,0.0567375886524822,-0.0106382978723403,0.0141843971631205,0.0141843971631205,0.0,0.0248226950354609,0.0,0.366,0.0248226950354609,-0.0248226950354609,5.320754716981132,0.366,0.0141843971631205,0.0248226950354609,0.0141843971631205,-0.024822695035460862,0.006,0.0,-0.04964539007092206,156,108,345,122,False,False,False,False
ALG1,25,15,10,464,5,0.9466666666666668,0.9333333333333332,0.9133333333333332,0.92,0.9466666666666668,0.036,0.0219089023002066,0.9583333333333331,5,0.88,0.354,0.3394554462665167,0.95625,5,0.9666666666666668,0.398,0.1008464178838296,0.9875,5,0.9133333333333332,0.186,0.3110144691167921,0.9645833333333332,5,0.9333333333333332,0.498,0.09338094023943,0.9520833333333334,5,-0.0133333333333334,0.0133333333333333,-0.0533333333333333,0.0333333333333333,0.02,0.02,0.0866666666666666,0.398,0.02,-0.0133333333333333,6.0,0.398,0.0333333333333333,0.02,0.0333333333333333,-0.013333333333333197,0.498,0.02,0.006666666666666821,142,63,77,52,False,False,False,False
ALOXE3,11,5,6,711,5,0.6,0.9000000000000001,0.9333333333333332,0.7666666666666666,0.8333333333333334,0.798,0.3263740185737829,0.905,5,0.8666666666666667,0.282,0.257429602027428,0.925,5,0.9,0.45,0.0552268050859362,1.0,5,0.7333333333333333,0.592,0.0782304288624317,0.8200000000000001,5,0.9,0.304,0.169941166289984,1.0,5,0.3000000000000001,-0.0666666666666667,-0.0333333333333334,-1.1102230246251563e-16,-0.0333333333333333,0.0666666666666666,0.0333333333333333,0.45,0.0666666666666666,-0.1333333333333335,2.727272727272727,0.45,-1.1102230246251563e-16,0.0666666666666666,-1.1102230246251563e-16,-0.13333333333333353,0.304,-0.0333333333333333,-0.16666666666666663,120,295,169,406,False,False,False,False
AMHR2,13,7,6,573,5,0.7857142857142857,0.8333333333333334,0.9047619047619048,0.7142857142857143,0.8095238095238095,0.42,0.3438022687534217,0.8299999999999998,5,0.8333333333333334,0.56,0.3130495168499705,0.9133333333333332,5,0.8095238095238095,0.068,0.1520526224699857,0.8366666666666666,5,0.7142857142857143,0.21,0.198620240660412,0.8109999999999999,5,0.8809523809523809,0.016,0.0357770876399966,0.9133333333333332,5,0.0476190476190476,-0.0238095238095238,0.0,-0.0238095238095238,-0.0238095238095239,0.0,-0.0238095238095238,0.068,0.0,-0.119047619047619,3.230769230769231,0.068,-0.0238095238095238,0.0,-0.0238095238095238,-0.11904761904761907,0.016,-0.0238095238095239,-0.19047619047619047,311,405,338,390,False,False,False,False
ANO3,14,5,9,981,5,1.0,1.0,1.0,0.8666666666666667,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1333333333333333,3.2142857142857144,0.0,0.0,0.0,0.0,-0.1333333333333333,0.0,0.0,-0.1333333333333333,359,161,351,123,False,False,False,False
ANOS1,17,7,10,680,5,0.9428571428571428,0.9571428571428572,0.9142857142857144,0.8714285714285714,0.9285714285714286,0.186,0.1143678276439663,1.0,5,0.9571428571428572,0.0,0.0,0.9541666666666666,5,0.9857142857142858,0.066,0.0219089023002066,1.0,5,0.9571428571428572,0.132,0.1035374328443582,0.9775,5,0.9857142857142858,0.36,0.0447213595499957,1.0,5,0.0142857142857143,-0.0285714285714285,0.0,0.0285714285714285,0.0714285714285715,0.0571428571428571,0.0285714285714285,0.066,0.0571428571428571,-0.0857142857142857,4.117647058823529,0.066,0.0285714285714285,0.0571428571428571,0.0285714285714285,-0.08571428571428574,0.36,0.0714285714285715,-0.04285714285714293,313,67,150,12,False,False,False,True
APP,32,16,16,770,5,0.4921875,0.5078125,0.87890625,0.49609375,0.41796875,0.4739999999999999,0.4387254266622804,0.5310650887573964,5,0.875,0.966,0.0328633534503099,0.8809664694280078,5,0.39453125,0.594,0.4731067532809059,0.5464497041420119,5,0.3359375,0.532,0.481269155462928,0.5332347140039447,5,0.875,0.16,0.1024695076595959,0.8835305719921104,5,0.015625,-0.08984375,0.3671875,-0.11328125,-0.00390625,-0.0234375,-0.48046875,0.594,-0.0234375,-0.01171875,8.0,0.594,-0.11328125,-0.0234375,-0.11328125,-0.01171875,0.16,-0.00390625,-0.3828125,65,462,259,312,False,False,False,False
AR,128,99,29,920,5,0.5541623127830024,0.6464646464646464,0.9240682688958552,0.6544757924068269,0.6464646464646465,1.0,0.0,0.646605668684645,5,0.9104841518634622,0.818,0.2044993887521427,0.9253164556962024,5,0.647161267850923,0.69,0.3863288754416371,0.6625655842964593,5,0.6520376175548589,0.898,0.0460434577328853,0.6575554944046964,5,0.9230233368164402,0.002,0.0044721359549995,0.924353329664282,5,0.0923023336816439,1.1102230246251563e-16,0.2640195053988158,0.0006966213862765,-0.0010449320794149,0.0006966213862764,-0.2633228840125392,0.69,0.0006966213862764,0.0080111459421804,22.4296875,0.69,0.0006966213862765,0.0006966213862764,0.0006966213862765,0.008011145942180442,0.002,-0.0010449320794149,-0.2695924764890284,41,146,347,283,True,False,False,False
ARSA,128,118,10,509,5,0.7677966101694915,0.8500000000000001,0.8466101694915255,0.6652542372881356,0.8491525423728814,0.996,0.0054772255750516,0.8496416573348264,5,0.8372881355932204,0.534,0.3010481689032505,0.8647088465845465,5,0.847457627118644,0.008,0.0109544511501033,0.8503975363941769,5,0.7686440677966102,0.062,0.0438178046004132,0.7701147816349384,5,0.8347457627118644,0.054,0.087920418561333,0.8479871220604703,5,0.0822033898305085,-0.0008474576271186,-0.0127118644067797,-0.002542372881356,-0.011864406779661,-0.0016949152542373,0.0101694915254236,0.008,-0.0016949152542373,-0.1847457627118645,9.21875,0.008,-0.002542372881356,-0.0016949152542373,-0.002542372881356,-0.1847457627118645,0.054,-0.011864406779661,-0.18135593220338986,350,324,318,343,False,False,False,False
ARSB,66,59,7,533,5,0.8426150121065377,0.8353510895883778,0.7893462469733656,0.7336561743341403,0.8208232445520581,0.3319999999999999,0.2735324478009875,0.8593262411347518,5,0.7820823244552058,0.146,0.3264659247149692,0.8419680851063829,5,0.837772397094431,0.134,0.111265448365609,0.8458865248226951,5,0.8401937046004843,0.03,0.0212132034355964,0.8478191489361702,5,0.7723970944309927,0.2779999999999999,0.2081345718519631,0.8013652482269503,5,-0.0072639225181598,-0.0145278450363196,-0.053268765133172,0.0024213075060531,-0.0169491525423729,0.0169491525423728,0.0556900726392252,0.134,0.0169491525423728,-0.1016949152542374,6.257575757575758,0.134,0.0024213075060531,0.0169491525423728,0.0024213075060531,-0.10169491525423746,0.2779999999999999,-0.0169491525423729,-0.05569007263922532,272,137,187,363,False,False,False,False
ARSL,28,10,18,589,5,0.6111111111111112,0.8055555555555556,0.8388888888888888,0.5111111111111111,0.8111111111111111,0.9,0.0141421356237309,0.8127380952380954,5,0.8333333333333334,0.6880000000000001,0.1190378091196238,0.8573809523809525,5,0.8055555555555556,0.038,0.0303315017762062,0.8195238095238097,5,0.6111111111111112,0.0,0.0,0.6133333333333334,5,0.8388888888888889,0.0,0.0,0.8395238095238096,5,0.1944444444444444,0.0055555555555555,0.0277777777777777,0.0,1.1102230246251563e-16,-0.0055555555555555,-0.0277777777777777,0.038,-0.0055555555555555,-0.2944444444444445,6.428571428571429,0.038,0.0,-0.0055555555555555,0.0,-0.2944444444444445,0.0,1.1102230246251563e-16,-0.3277777777777777,336,162,352,104,False,False,False,False
ARX,45,20,25,562,5,0.8280000000000001,0.92,0.928,0.902,0.916,0.758,0.0875785361832452,0.921875,5,0.968,0.534,0.0207364413533277,0.973125,5,0.916,0.386,0.2913417237540823,0.92875,5,0.898,0.966,0.0089442719099991,0.903125,5,0.938,0.352,0.1329285522376588,0.96625,5,0.0919999999999998,-0.0039999999999998,0.048,-0.0039999999999998,0.01,0.0,-0.0519999999999999,0.386,0.0,-0.018,11.11111111111111,0.386,-0.0039999999999998,0.0,-0.0039999999999998,-0.018000000000000016,0.352,0.01,-0.026000000000000023,147,332,154,75,False,False,False,False
ASAH1,36,27,9,395,5,0.6790123456790124,0.8148148148148148,0.7983539094650206,0.5432098765432098,0.7860082304526749,0.772,0.2437621791829077,0.8177643784786641,5,0.8065843621399177,0.284,0.1607171428317464,0.8290507111935683,5,0.8148148148148148,0.362,0.1370036495864252,0.8336734693877551,5,0.6337448559670782,0.27,0.2070024154448445,0.7003401360544218,5,0.720164609053498,0.268,0.3669741135284613,0.8163265306122449,5,0.1358024691358024,-0.0288065843621398,-0.008230452674897,0.0,-0.0781893004115226,0.0288065843621398,0.008230452674897,0.362,0.0288065843621398,-0.2716049382716049,6.75,0.362,0.0,0.0288065843621398,0.0,-0.2716049382716049,0.268,-0.0781893004115226,-0.25514403292181076,157,163,196,449,False,False,False,False
ASL,66,61,5,464,5,0.8786885245901639,0.8688524590163934,0.940983606557377,0.9442622950819672,0.8918032786885246,0.368,0.1449827575955155,0.8995110544217686,5,0.9278688524590164,0.858,0.2057182539299806,0.94468537414966,5,0.921311475409836,0.784,0.1152388823271034,0.9528273809523808,5,0.9344262295081968,0.6839999999999999,0.0887693640846885,0.9682610544217688,5,0.9278688524590164,0.458,0.2678058998603279,0.9723214285714288,5,-0.0098360655737704,0.0229508196721311,0.0590163934426229,0.0524590163934426,-0.0131147540983606,0.0295081967213114,-0.0065573770491803,0.784,0.0295081967213114,0.0754098360655738,4.621212121212121,0.784,0.0524590163934426,0.0295081967213114,0.0524590163934426,0.07540983606557383,0.458,-0.0131147540983606,0.003278688524590234,22,37,91,349,True,True,False,False
