gene,n,n_pathogenic,n_benign,optimizer,esm2_calm_weight,esm2_calm_auc,esm2_150m_650m_weight_second,esm2_150m_650m_auc,esm1b_calm_weight,esm1b_calm_auc,esm2_650m_auc,esm1b_650m_auc,calm_auc,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_gain_over_protein,esm1b_gain_over_protein,esm2_independent_calm_signal,esm1b_independent_calm_signal,n_objective_evals
AARS1,27,10,17,bayes,0.057,0.988235294117647,1.0,0.9823529411764705,0.0,0.9529411764705882,0.9823529411764705,0.9529411764705882,0.8529411764705882,0.00588235294117645,0.00588235294117645,0.00588235294117645,0.0,-0.12941176470588234,-0.09999999999999998,90
AARS2,26,13,13,bayes,0.5,0.9349112426035503,1.0,0.9289940828402367,0.245,0.9526627218934911,0.9289940828402367,0.9408284023668639,0.893491124260355,0.00591715976331364,0.00591715976331364,0.00591715976331364,0.011834319526627168,-0.035502958579881616,-0.047337278106508895,90
ABCB7,19,6,13,bayes,0.5,0.8846153846153846,1.0,0.8333333333333334,0.625,0.8846153846153847,0.8333333333333334,0.8333333333333333,0.8461538461538463,0.05128205128205121,0.05128205128205121,0.05128205128205121,0.05128205128205143,0.012820512820512886,0.012820512820512997,90
ABCD1,219,159,60,bayes,0.5,0.9684486373165618,0.9590000000000001,0.9535639412997904,0.15,0.9786163522012579,0.9534591194968552,0.9773584905660377,0.94916142557652,0.014989517819706588,0.014884696016771448,0.014989517819706588,0.0012578616352201255,-0.004297693920335299,-0.028197064989517795,90
ACAD9,24,13,11,bayes,0.444,0.951048951048951,0.0,0.993006993006993,0.36,0.916083916083916,0.9440559440559441,0.8601398601398602,0.8391608391608392,0.006993006993006978,-0.04195804195804198,0.006993006993006978,0.055944055944055826,-0.1048951048951049,-0.020979020979021046,90
ACADS,18,13,5,bayes,0.0,0.9538461538461538,0.5,0.9692307692307692,0.326,0.9230769230769231,0.9538461538461538,0.9076923076923077,0.8461538461538461,0.0,-0.015384615384615441,0.0,0.015384615384615441,-0.10769230769230764,-0.06153846153846154,90
ACADVL,135,129,6,bayes,0.323,0.9702842377260982,1.0,0.9651162790697675,0.457,0.9857881136950905,0.9651162790697675,0.9819121447028424,0.8578811369509043,0.0051679586563306845,0.0051679586563306845,0.0051679586563306845,0.003875968992248069,-0.1072351421188632,-0.1240310077519381,90
ACTN4,19,9,10,bayes,1.0,1.0,1.0,0.9666666666666668,1.0,1.0,0.9666666666666668,0.9111111111111111,1.0,0.033333333333333215,0.033333333333333215,0.033333333333333215,0.0888888888888889,0.033333333333333215,0.0888888888888889,90
ACVRL1,159,149,10,bayes,0.291,0.8798657718120806,0.327,0.8832214765100671,0.011,0.9489932885906041,0.876510067114094,0.9483221476510066,0.8174496644295302,0.003355704697986628,-0.003355704697986517,0.003355704697986628,0.0006711409395974144,-0.059060402684563806,-0.1308724832214765,90
ADA,37,28,9,bayes,0.0,0.9841269841269842,0.922,0.9880952380952381,0.0,0.9722222222222222,0.9841269841269842,0.9722222222222222,0.8174603174603174,0.0,-0.003968253968253954,0.0,0.0,-0.16666666666666674,-0.15476190476190477,90
ADAMTSL2,11,6,5,bayes,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.0,-0.06666666666666665,-0.06666666666666665,90
ADGRG1,21,9,12,bayes,0.785,0.8240740740740741,0.0,0.8333333333333333,0.9440000000000001,0.8240740740740741,0.7129629629629629,0.75,0.8055555555555556,0.11111111111111116,-0.00925925925925919,0.11111111111111116,0.07407407407407407,0.09259259259259267,0.05555555555555558,90
AFG3L2,27,20,7,bayes,0.845,0.8999999999999999,1.0,0.8142857142857143,0.5,0.95,0.8142857142857143,0.8928571428571428,0.8785714285714286,0.08571428571428563,0.08571428571428563,0.08571428571428563,0.05714285714285716,0.06428571428571428,-0.014285714285714235,90
AIFM1,31,16,15,bayes,0.0,0.9083333333333333,1.0,0.9083333333333333,0.634,0.8666666666666667,0.9083333333333333,0.8208333333333333,0.8333333333333334,0.0,0.0,0.0,0.04583333333333339,-0.07499999999999996,0.012500000000000067,90
AIRE,36,25,11,bayes,0.0,0.9781818181818182,1.0,0.9781818181818182,0.5,0.9781818181818182,0.9781818181818182,0.9636363636363636,0.7527272727272728,0.0,0.0,0.0,0.014545454545454528,-0.22545454545454535,-0.21090909090909082,90
AK2,10,5,5,bayes,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.9600000000000001,0.9600000000000001,0.0,0.0,0.0,0.039999999999999925,-0.039999999999999925,0.0,90
ALAS2,21,15,6,bayes,1.0,0.8222222222222223,1.0,0.7222222222222222,0.196,0.9444444444444445,0.7222222222222222,0.9444444444444444,0.8222222222222223,0.10000000000000009,0.10000000000000009,0.10000000000000009,1.1102230246251565e-16,0.10000000000000009,-0.12222222222222212,90
ALDH18A1,28,18,10,bayes,0.5,0.8,0.775,0.8,0.0,0.9388888888888889,0.7722222222222221,0.9388888888888889,0.7555555555555555,0.0277777777777779,0.0,0.0277777777777779,0.0,-0.016666666666666607,-0.18333333333333335,90
ALDH3A2,26,19,7,bayes,1.0,0.9924812030075189,0.0,1.0,0.5,1.0,0.9774436090225564,0.9924812030075189,0.9924812030075189,0.015037593984962405,-0.007518796992481147,0.015037593984962405,0.007518796992481147,0.015037593984962405,0.0,90
