gene,model,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
AARS1,ESM-2 650M + CaLM,1,0.0,3.7219338834046525,3.3044617830441174,0.0
AARS1,ESM-2 650M + CaLM,2,0.02,3.075867390684658,3.164072459897873,0.020561736959422917
AARS1,ESM-2 650M + CaLM,3,0.0,3.320855241168701,3.0799346008410717,0.0
AARS1,ESM-2 650M + CaLM,4,0.02,3.4569499435805837,2.950196105243576,0.017118390277634316
AARS1,ESM-2 650M + CaLM,5,0.02,3.5079439338506573,3.2961090273711013,0.018814979709300732
AARS1,ESM-1b 650M + CaLM,1,0.28,3.80775206887918,3.0646942684663068,0.23838524771014818
AARS1,ESM-1b 650M + CaLM,2,0.0,3.862035887266046,3.3246762410572956,0.0
AARS1,ESM-1b 650M + CaLM,3,0.0,4.11200495996267,3.1634622984825302,0.0
AARS1,ESM-1b 650M + CaLM,4,0.28,3.5645945478378582,2.8721384809362727,0.23858460870769307
AARS1,ESM-1b 650M + CaLM,5,0.18,3.8601498804801064,3.3105206692954865,0.15843110894324341
AARS2,ESM-2 650M + CaLM,1,0.0,4.141579187958255,2.4426107623327917,0.0
AARS2,ESM-2 650M + CaLM,2,0.1,3.4901220153554653,2.4533719332362462,0.07244678354809565
AARS2,ESM-2 650M + CaLM,3,0.1,3.9128017688132424,2.6101709261800865,0.06900579594444156
AARS2,ESM-2 650M + CaLM,4,0.0,4.303510236465238,2.839032729453271,0.0
AARS2,ESM-2 650M + CaLM,5,0.1,4.190253041597184,2.814719240337822,0.0694529443446593
AARS2,ESM-1b 650M + CaLM,1,0.15,5.023313573467097,2.659613823681952,0.08544928251642918
AARS2,ESM-1b 650M + CaLM,2,0.15,4.524718778137707,2.5276776078421057,0.0897365798285718
AARS2,ESM-1b 650M + CaLM,3,0.0,4.892873124302426,2.480306991892578,0.0
AARS2,ESM-1b 650M + CaLM,4,0.15,5.251428013438909,2.6553321601208357,0.08192075421482894
AARS2,ESM-1b 650M + CaLM,5,0.05,4.5480126220306,2.8937161748475466,0.032402275331563146
