gene,n,n_pathogenic,n_benign,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,esm2_calm_weight,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_independent_calm_signal,esm1b_calm_weight,esm1b_gain_over_protein,esm1b_independent_calm_signal
WDR45,38,16,22,0.8892045454545455,0.8607954545454546,0.9119318181818182,0.99,0.0227272727272727,0.0170454545454545,0.022727272727272707,0.46,0.0710227272727272,0.051136363636363646
EZH2,49,27,22,0.7188552188552189,0.9932659932659932,0.8888888888888888,0.99,0.1717171717171717,0.1717171717171717,0.17003367003366998,0.34,0.0033670033670034,-0.10437710437710435
FOXG1,145,75,70,0.7725714285714286,0.9742857142857144,0.8939047619047619,0.99,0.1215238095238095,0.1201904761904761,0.1213333333333333,0.46,0.003047619047619,-0.08038095238095255
SH3BP2,16,6,10,0.1499999999999999,0.1333333333333333,0.4999999999999999,0.98,0.35,0.1166666666666666,0.35,0.98,0.3666666666666666,0.3666666666666666
IRF2BPL,18,5,13,0.1076923076923076,0.8769230769230769,0.3538461538461538,0.98,0.2461538461538462,0.2307692307692307,0.24615384615384622,0.0,0.0,-0.5230769230769231
MEF2C,41,20,21,0.7857142857142858,0.8738095238095238,0.8904761904761904,0.97,0.1047619047619046,0.1047619047619046,0.10476190476190461,0.98,0.0238095238095238,0.016666666666666607
PAFAH1B1,47,35,12,0.911904761904762,0.9023809523809524,0.9428571428571428,0.96,0.0333333333333333,0.0023809523809523,0.030952380952380842,0.96,0.0404761904761904,0.04047619047619044
SLC4A1,27,19,8,0.881578947368421,0.986842105263158,0.9144736842105264,0.96,0.0394736842105263,0.0394736842105263,0.03289473684210542,0.0,0.0,-0.07236842105263153
GP1BA,20,13,7,0.8901098901098901,0.945054945054945,0.967032967032967,0.96,0.0769230769230769,0.0769230769230769,0.07692307692307698,0.75,0.0219780219780221,0.02197802197802201
FH,106,101,5,0.8178217821782178,0.992079207920792,0.992079207920792,0.96,0.1742574257425743,0.1702970297029703,0.1742574257425742,0.31,0.0039603960396039,0.0
FOXP3,39,17,22,0.6711229946524064,0.8636363636363636,0.8796791443850267,0.96,0.2085561497326202,0.1524064171122994,0.20855614973262027,0.5,0.0481283422459892,0.016042780748663055
MMACHC,25,20,5,0.5399999999999999,0.5800000000000001,0.7000000000000001,0.95,0.1700000000000001,0.1600000000000001,0.16000000000000014,0.96,0.13,0.12
TFE3,21,11,10,0.2818181818181818,1.0,0.5,0.95,0.2181818181818182,0.1818181818181818,0.2181818181818182,0.0,0.0,-0.5
STING1,17,5,12,0.35,0.2666666666666667,0.5,0.94,0.1499999999999999,0.1166666666666666,0.15000000000000002,0.94,0.2333333333333332,0.23333333333333328
PTPN11,99,91,8,0.6552197802197801,0.9505494505494504,0.7596153846153846,0.94,0.1085164835164835,0.0865384615384614,0.10439560439560447,0.39,0.0054945054945054,-0.1909340659340658
GNAO1,66,52,14,0.9684065934065934,0.9766483516483516,0.98489010989011,0.93,0.0178571428571429,0.0151098901098901,0.016483516483516647,0.38,0.0123626373626373,0.008241758241758435
CNOT3,16,8,8,0.78125,0.984375,0.90625,0.93,0.125,0.125,0.125,0.24,0.015625,-0.078125
COL10A1,44,18,26,0.7136752136752137,0.782051282051282,0.7564102564102564,0.91,0.0512820512820512,0.034188034188034,0.042735042735042694,0.28,0.0064102564102564,-0.02564102564102566
SOX5,28,16,12,0.8489583333333333,0.90625,0.9635416666666669,0.9,0.1145833333333334,0.0364583333333333,0.11458333333333359,1.0,0.0572916666666667,0.05729166666666685
SPG7,24,16,8,0.921875,0.984375,0.984375,0.9,0.0625,0.0625,0.0625,0.48,0.015625,0.0
ROBO4,25,6,19,0.4824561403508772,0.5350877192982456,0.6403508771929824,0.89,0.1578947368421052,0.1140350877192981,0.15789473684210525,1.0,0.1052631578947368,0.10526315789473684
TUBB2A,34,25,9,0.6000000000000001,0.68,0.6711111111111111,0.87,0.0844444444444443,0.0799999999999999,0.07111111111111101,0.4,0.0666666666666666,-0.008888888888888946
EBF3,35,30,5,0.5666666666666667,0.8266666666666667,0.6066666666666667,0.87,0.04,0.0266666666666667,0.040000000000000036,0.5700000000000001,0.02,-0.21999999999999997
PCYT1A,20,6,14,0.7261904761904762,1.0,0.9642857142857144,0.87,0.2380952380952381,0.2261904761904761,0.23809523809523825,0.0,0.0,-0.03571428571428559
PDE4D,22,13,9,0.5982905982905984,0.9829059829059827,0.7948717948717949,0.87,0.1965811965811965,0.1623931623931623,0.19658119658119655,0.0,0.0,-0.1880341880341878
FUS,21,14,7,0.5612244897959183,0.8367346938775511,0.6020408163265306,0.87,0.0510204081632653,0.0510204081632653,0.04081632653061229,0.0,0.0,-0.23469387755102045
SPAST,137,123,14,0.8960511033681765,0.9901277584204412,0.93205574912892,0.86,0.0412311265969803,0.0394889663182346,0.03600464576074347,0.11,0.0005807200929152,-0.05807200929152123
DCLRE1C,25,13,12,0.8717948717948717,0.9166666666666669,0.9166666666666669,0.86,0.0576923076923078,-0.0705128205128204,0.044871794871795156,0.66,0.0448717948717949,0.0
AR,128,99,29,0.6464646464646464,0.9240682688958552,0.6544757924068269,0.86,0.0149773598049461,0.0149773598049461,0.008011145942180442,0.0,0.0,-0.2695924764890284
RALA,14,8,6,0.7083333333333334,0.8125,0.875,0.85,0.1666666666666666,-0.1041666666666667,0.16666666666666663,0.65,0.0625,0.0625
POT1,14,5,9,0.8444444444444444,0.8222222222222222,0.8444444444444446,0.85,0.1333333333333333,0.0444444444444445,1.1102230246251565e-16,0.73,0.0888888888888889,0.022222222222222365
KCNH1,73,16,57,0.7675438596491229,0.8135964912280702,0.8651315789473685,0.84,0.1063596491228069,0.1063596491228069,0.09758771929824561,0.84,0.0767543859649122,0.05153508771929827
AFG3L2,27,20,7,0.8142857142857143,0.8928571428571428,0.8785714285714286,0.84,0.0857142857142856,0.0857142857142856,0.06428571428571428,0.5,0.0571428571428571,-0.014285714285714235
MAPT,36,13,23,0.8461538461538461,1.0,0.8862876254180603,0.8300000000000001,0.0401337792642141,0.0133779264214047,0.04013377926421413,0.0,0.0,-0.11371237458193972
PRKAG2,27,17,10,0.8588235294117647,1.0,0.9117647058823528,0.8300000000000001,0.0529411764705882,0.0529411764705882,0.05294117647058816,0.0,0.0,-0.08823529411764719
