gene,n,n_pathogenic,n_benign,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,esm2_calm_weight,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_independent_calm_signal,esm1b_calm_weight,esm1b_gain_over_protein,esm1b_independent_calm_signal
SH3BP2,16,6,10,0.1499999999999999,0.1333333333333333,0.4999999999999999,0.968,0.3166666666666667,0.0833333333333333,0.35,0.97,0.35,0.3666666666666666
IRF2BPL,18,5,13,0.1076923076923076,0.8769230769230769,0.3538461538461538,0.976,0.2307692307692308,0.2769230769230769,0.24615384615384622,0.0,0.0,-0.5230769230769231
TFE3,21,11,10,0.2818181818181818,1.0,0.5,0.938,0.2090909090909091,0.1909090909090909,0.2181818181818182,0.0,0.0,-0.5
FOXP3,39,17,22,0.6711229946524064,0.8636363636363636,0.8796791443850267,0.952,0.2058823529411764,0.2032085561497325,0.20855614973262027,0.4720000000000001,0.016042780748663,0.016042780748663055
PCYT1A,20,6,14,0.7261904761904762,1.0,0.9642857142857144,0.756,0.1904761904761904,0.3452380952380952,0.23809523809523825,0.0,0.0,-0.03571428571428559
MMACHC,25,20,5,0.5399999999999999,0.5800000000000001,0.7000000000000001,0.918,0.17,0.1599999999999999,0.16000000000000014,0.6759999999999999,-0.04,0.12
FH,106,101,5,0.8178217821782178,0.992079207920792,0.992079207920792,0.924,0.1683168316831683,0.1841584158415841,0.1742574257425742,0.208,-0.0039603960396039,0.0
EZH2,49,27,22,0.7188552188552189,0.9932659932659932,0.8888888888888888,0.918,0.1616161616161616,0.1666666666666667,0.17003367003366998,0.272,-0.0016835016835016,-0.10437710437710435
PDE4D,22,13,9,0.5982905982905984,0.9829059829059827,0.7948717948717949,0.8460000000000001,0.1538461538461537,0.1282051282051282,0.19658119658119655,0.0,0.0,-0.1880341880341878
GATA1,26,10,16,0.775,0.8875000000000001,0.93125,0.76,0.1437499999999999,0.1624999999999999,0.15625,0.784,0.0312499999999998,0.043749999999999956
PADI6,12,7,5,0.6857142857142857,0.9142857142857144,0.5142857142857142,0.526,0.1428571428571429,0.2,-0.17142857142857149,0.136,-0.0571428571428571,-0.40000000000000013
RLIM,15,7,8,0.7857142857142857,1.0,0.9464285714285714,0.744,0.1428571428571429,0.1071428571428572,0.1607142857142857,0.0,0.0,-0.0535714285714286
GARS1,28,17,11,0.7914438502673796,0.946524064171123,0.925133689839572,0.71,0.1336898395721926,0.1711229946524064,0.13368983957219238,0.342,-0.0106951871657754,-0.021390374331551
PDE6C,16,11,5,0.7454545454545455,0.8545454545454546,0.8727272727272728,0.528,0.1272727272727272,0.1454545454545454,0.12727272727272732,0.368,0.018181818181818,0.018181818181818188
RALA,14,8,6,0.7083333333333334,0.8125,0.875,0.752,0.125,-0.1458333333333332,0.16666666666666663,0.414,0.0208333333333333,0.0625
PRSS1,22,7,15,0.6000000000000001,0.7142857142857144,0.7047619047619048,0.5200000000000001,0.1238095238095237,0.1047619047619047,0.10476190476190472,0.506,-0.1142857142857144,-0.009523809523809601
FOXG1,145,75,70,0.7725714285714286,0.9742857142857144,0.8939047619047619,0.976,0.12,0.1207619047619047,0.1213333333333333,0.418,-0.0017142857142857,-0.08038095238095255
KCND2,16,5,11,0.7454545454545456,1.0,1.0,0.432,0.1090909090909089,-0.1454545454545455,0.2545454545454544,0.0,0.0,0.0
PTPN11,99,91,8,0.6552197802197801,0.9505494505494504,0.7596153846153846,0.912,0.1057692307692308,0.1098901098901098,0.10439560439560447,0.286,-0.0329670329670329,-0.1909340659340658
SOX5,28,16,12,0.8489583333333333,0.90625,0.9635416666666669,0.8220000000000001,0.1041666666666667,0.03125,0.11458333333333359,0.9,0.03125,0.05729166666666685
MEF2C,41,20,21,0.7857142857142858,0.8738095238095238,0.8904761904761904,0.966,0.1023809523809522,0.1214285714285713,0.10476190476190461,0.98,0.0166666666666666,0.016666666666666607
KCNH1,73,16,57,0.7675438596491229,0.8135964912280702,0.8651315789473685,0.8460000000000001,0.0997807017543859,0.1074561403508772,0.09758771929824561,0.8160000000000001,0.0592105263157894,0.05153508771929827
SOX9,49,30,19,0.8982456140350876,0.8631578947368421,0.9982456140350878,0.7879999999999999,0.0982456140350878,0.0894736842105262,0.1000000000000002,0.6979999999999998,0.1298245614035087,0.1350877192982457
CNOT3,16,8,8,0.78125,0.984375,0.90625,0.7660000000000001,0.09375,0.109375,0.125,0.144,0.0,-0.078125
ADGRG1,21,9,12,0.7129629629629629,0.75,0.8055555555555556,0.786,0.0925925925925926,-0.0277777777777777,0.09259259259259267,0.5900000000000001,-0.0833333333333333,0.05555555555555558
GATA2,52,37,15,0.8846846846846848,1.0,0.9801801801801804,0.5459999999999999,0.09009009009009,0.0954954954954955,0.09549549549549563,0.0,0.0,-0.019819819819819617
UROS,14,8,6,0.8125,0.8333333333333333,0.875,0.708,0.0833333333333333,0.0833333333333333,0.0625,0.756,1.1102230246251563e-16,0.04166666666666674
GLDC,90,78,12,0.8066239316239318,0.9316239316239316,0.8888888888888888,0.5240000000000001,0.0779914529914528,0.0811965811965811,0.08226495726495708,0.344,-0.0512820512820513,-0.042735042735042805
MTHFR,26,20,6,0.8166666666666667,0.8916666666666667,0.8833333333333334,0.5520000000000002,0.075,0.1166666666666667,0.06666666666666676,0.226,-0.0166666666666667,-0.008333333333333304
KIF22,40,6,34,0.8039215686274509,0.8333333333333334,0.8137254901960784,0.572,0.0686274509803922,0.0,0.009803921568627527,0.5660000000000001,0.0196078431372548,-0.019607843137254943
MMUT,116,110,6,0.8151515151515152,0.9348484848484848,0.8818181818181818,0.652,0.0681818181818181,0.0757575757575756,0.06666666666666665,0.1119999999999999,0.0045454545454545,-0.05303030303030298
GP1BA,20,13,7,0.8901098901098901,0.945054945054945,0.967032967032967,0.936,0.065934065934066,0.0879120879120879,0.07692307692307698,0.6980000000000001,-0.0109890109890109,0.02197802197802201
PPP3CA,18,13,5,0.8461538461538463,0.8153846153846154,0.8307692307692307,0.258,0.0615384615384614,0.1076923076923076,-0.015384615384615552,0.532,-0.0615384615384615,0.01538461538461533
MLH1,189,155,34,0.825237191650854,0.8709677419354839,0.9018975332068312,0.776,0.0603415559772295,-0.0240986717267551,0.07666034155597723,0.734,0.0453510436432637,0.030929791271347318
ALAS2,21,15,6,0.7222222222222222,0.9444444444444444,0.8222222222222223,0.588,0.0555555555555555,0.0666666666666666,0.10000000000000009,0.16,-0.0555555555555555,-0.12222222222222212
FGFR3,49,32,17,0.8786764705882353,0.9191176470588236,0.9209558823529412,0.6719999999999999,0.0533088235294118,0.0551470588235294,0.042279411764705954,0.674,-0.0036764705882352,0.0018382352941176405
ASL,66,61,5,0.8688524590163934,0.940983606557377,0.9442622950819672,0.784,0.0524590163934426,0.0295081967213114,0.07540983606557383,0.458,-0.0131147540983606,0.003278688524590234
CYP11B2,38,14,24,0.8392857142857143,0.9523809523809524,0.8333333333333334,0.6719999999999999,0.050595238095238,-0.0119047619047619,-0.005952380952380931,0.026,-0.0029761904761905,-0.11904761904761907
AFG3L2,27,20,7,0.8142857142857143,0.8928571428571428,0.8785714285714286,0.7899999999999999,0.05,0.0571428571428571,0.06428571428571428,0.462,0.0428571428571429,-0.014285714285714235
STING1,17,5,12,0.35,0.2666666666666667,0.5,0.6759999999999999,0.0499999999999999,0.0833333333333333,0.15000000000000002,0.624,0.0999999999999999,0.23333333333333328
MSH2,341,109,232,0.8604476431509016,0.8470816197405885,0.8890382790256248,0.5900000000000001,0.0472951597595697,-0.0028867447010439,0.028590635874723214,0.708,0.0520404935147105,0.041956659285036335
PRKAG2,27,17,10,0.8588235294117647,1.0,0.9117647058823528,0.7460000000000001,0.0470588235294118,0.0647058823529411,0.05294117647058816,0.0,0.0,-0.08823529411764719
PPP2R5D,18,13,5,0.7538461538461538,0.7846153846153846,0.8307692307692308,0.49,0.0461538461538462,0.0461538461538462,0.07692307692307698,0.7580000000000001,0.0153846153846154,0.04615384615384621
GPR143,25,14,11,0.7792207792207793,0.8701298701298701,0.7922077922077922,0.698,0.0454545454545454,-0.0389610389610389,0.012987012987012991,0.364,-0.0714285714285714,-0.07792207792207784
FMO3,27,16,11,0.8636363636363636,0.8352272727272727,0.8352272727272727,0.258,0.0454545454545454,0.0852272727272727,-0.02840909090909094,0.656,-0.0284090909090909,0.0
GFAP,55,47,8,0.8590425531914894,0.9441489361702128,0.9042553191489362,0.696,0.0452127659574468,0.0558510638297872,0.04521276595744683,0.56,0.0079787234042553,-0.039893617021276584
DCLRE1C,25,13,12,0.8717948717948717,0.9166666666666669,0.9166666666666669,0.532,0.0448717948717949,-0.0833333333333333,0.044871794871795156,0.4019999999999999,-0.0320512820512821,0.0
