gene,n,n_pathogenic,n_benign,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,esm2_calm_weight,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_independent_calm_signal,esm1b_calm_weight,esm1b_gain_over_protein,esm1b_independent_calm_signal
SH3BP2,16,6,10,0.1499999999999999,0.1333333333333333,0.4999999999999999,0.968,0.3166666666666667,0.0833333333333333,0.35,0.97,0.35,0.3666666666666666
CDH1,106,17,89,0.9015201586252478,0.6457369464639788,0.8790482485128883,0.406,-0.037673496364838,-0.038995373430271,-0.022471910112359494,0.898,0.2227362855254461,0.23331130204890949
ZMYND11,24,10,14,0.9285714285714286,0.7214285714285713,0.8571428571428572,0.358,0.0142857142857142,0.0,-0.0714285714285714,0.788,0.1857142857142858,0.1357142857142859
RARS1,12,7,5,1.0,0.7714285714285714,1.0,0.0,0.0,0.0285714285714285,0.0,0.7699999999999999,0.1714285714285714,0.22857142857142865
COQ4,12,6,6,1.0,0.8333333333333333,0.9722222222222224,0.0,0.0,0.0555555555555555,-0.027777777777777568,0.3259999999999999,0.1388888888888889,0.13888888888888917
UBQLN2,11,5,6,0.6333333333333333,0.4333333333333333,0.6333333333333333,0.288,0.0,0.0666666666666666,0.0,0.8860000000000001,0.1333333333333333,0.2
SOX9,49,30,19,0.8982456140350876,0.8631578947368421,0.9982456140350878,0.7879999999999999,0.0982456140350878,0.0894736842105262,0.1000000000000002,0.6979999999999998,0.1298245614035087,0.1350877192982457
KCNV2,25,11,14,0.987012987012987,0.8246753246753247,0.961038961038961,0.232,0.0,-0.0064935064935065,-0.025974025974025983,0.8699999999999999,0.1038961038961039,0.13636363636363635
STING1,17,5,12,0.35,0.2666666666666667,0.5,0.6759999999999999,0.0499999999999999,0.0833333333333333,0.15000000000000002,0.624,0.0999999999999999,0.23333333333333328
XPC,16,5,11,1.0,0.8181818181818182,0.9636363636363636,0.0,0.0,0.0363636363636363,-0.036363636363636376,0.794,0.0909090909090908,0.1454545454545454
CAMK2B,62,5,57,0.8842105263157894,0.912280701754386,0.8877192982456141,0.502,-0.0245614035087718,0.0070175438596491,0.0035087719298246833,0.354,0.0771929824561403,-0.024561403508771895
ANOS1,17,7,10,0.9571428571428572,0.9142857142857144,0.8714285714285714,0.066,0.0285714285714285,0.0571428571428571,-0.08571428571428574,0.36,0.0714285714285715,-0.04285714285714293
TNPO2,11,6,5,0.7666666666666666,0.7666666666666666,0.8333333333333334,0.336,-0.0333333333333333,-0.2333333333333334,0.06666666666666676,0.136,0.0666666666666667,0.06666666666666676
LHCGR,17,12,5,0.8666666666666667,0.9,0.9833333333333334,0.524,0.0333333333333333,-0.0999999999999999,0.1166666666666667,0.784,0.0666666666666666,0.08333333333333337
POT1,14,5,9,0.8444444444444444,0.8222222222222222,0.8444444444444446,0.6799999999999999,0.0222222222222222,0.0,1.1102230246251565e-16,0.73,0.0666666666666666,0.022222222222222365
WNT10A,25,16,9,0.9236111111111112,0.9166666666666669,0.9305555555555556,0.264,-0.0416666666666667,-0.0138888888888889,0.00694444444444442,0.25,0.0624999999999998,0.013888888888888729
KCNH1,73,16,57,0.7675438596491229,0.8135964912280702,0.8651315789473685,0.8460000000000001,0.0997807017543859,0.1074561403508772,0.09758771929824561,0.8160000000000001,0.0592105263157894,0.05153508771929827
GRIN1,97,61,36,0.8101092896174863,0.7714025500910746,0.8069216757741348,0.514,0.0396174863387979,0.0432604735883425,-0.0031876138433515333,0.64,0.0573770491803279,0.03551912568306015
HBB,35,27,8,0.8009259259259259,0.6712962962962963,0.7083333333333333,0.4619999999999999,0.0185185185185184,0.0601851851851851,-0.09259259259259267,0.53,0.0555555555555555,0.03703703703703698
IL7R,26,9,17,0.8366013071895424,0.7973856209150326,0.8366013071895425,0.482,-0.0130718954248365,0.0261437908496731,1.1102230246251565e-16,0.808,0.0522875816993464,0.03921568627450989
MSH2,341,109,232,0.8604476431509016,0.8470816197405885,0.8890382790256248,0.5900000000000001,0.0472951597595697,-0.0028867447010439,0.028590635874723214,0.708,0.0520404935147105,0.041956659285036335
EYA1,22,9,13,0.9743589743589745,0.9316239316239316,0.9743589743589742,0.12,0.017094017094017,0.0769230769230769,-2.220446049250313e-16,0.336,0.0512820512820513,0.04273504273504258
MLC1,23,17,6,0.6764705882352942,0.6666666666666666,0.7450980392156863,0.748,-0.0294117647058823,-0.0196078431372548,0.06862745098039214,0.6900000000000001,0.0490196078431373,0.07843137254901966
MLH1,189,155,34,0.825237191650854,0.8709677419354839,0.9018975332068312,0.776,0.0603415559772295,-0.0240986717267551,0.07666034155597723,0.734,0.0453510436432637,0.030929791271347318
SERPINA1,50,9,41,0.8644986449864498,0.7425474254742548,0.8075880758807589,0.204,0.02710027100271,0.062330623306233,-0.05691056910569092,0.5399999999999999,0.0433604336043359,0.06504065040650409
AFG3L2,27,20,7,0.8142857142857143,0.8928571428571428,0.8785714285714286,0.7899999999999999,0.05,0.0571428571428571,0.06428571428571428,0.462,0.0428571428571429,-0.014285714285714235
RAG2,58,49,9,0.891156462585034,0.81859410430839,0.7732426303854876,0.48,0.0226757369614513,0.0249433106575964,-0.11791383219954643,0.57,0.0408163265306122,-0.0453514739229024
EMD,15,5,10,0.94,0.92,0.98,0.6679999999999999,0.0199999999999999,0.0399999999999999,0.040000000000000036,0.632,0.0399999999999999,0.05999999999999994
PRMT7,10,5,5,1.0,0.8,0.96,0.0,0.0,0.16,-0.040000000000000036,0.452,0.0399999999999999,0.15999999999999992
TCF4,84,40,44,0.93125,0.9085227272727272,0.9096590909090908,0.344,-0.0056818181818182,0.0159090909090908,-0.021590909090909216,0.66,0.0386363636363635,0.001136363636363602
ENG,171,61,110,0.8181818181818182,0.7719821162444114,0.7481371087928465,0.58,0.0363636363636362,0.0380029806259314,-0.07004470938897178,0.5959999999999999,0.0366616989567808,-0.023845007451564926
COL6A2,95,51,44,0.962566844919786,0.9518716577540108,0.979946524064171,0.806,0.0147058823529412,0.0053475935828877,0.017379679144385096,0.882,0.0334224598930481,0.028074866310160207
SEC23B,11,6,5,0.8666666666666667,0.8666666666666667,0.5666666666666667,0.204,-0.0333333333333333,0.0,-0.30000000000000004,0.1,0.0333333333333333,-0.30000000000000004
MTM1,72,49,23,0.974267968056788,0.940550133096717,0.963620230700976,0.35,-0.0035492457852706,-0.0053238686779059,-0.010647737355811926,0.534,0.0319432120674356,0.023070097604259043
