gene,n,n_pathogenic,n_benign,esm2_calm_weight,esm2_codon_rank,esm2_top_codon_weight_decile,esm2_cross_modal_gain,esm2_gain_rank,esm2_top_cross_modal_gain_decile,esm1b_calm_weight,esm1b_codon_rank,esm1b_top_codon_weight_decile,esm1b_gain_over_protein,esm1b_gain_rank,esm1b_top_gain_decile,top_weight_both_plm_backgrounds,top_weight_and_gain_within_esm2
SH3BP2,16,6,10,0.98,5,True,0.1166666666666666,18,True,0.98,4,True,0.3666666666666666,1,True,True,True
MEF2C,41,20,21,0.97,6,True,0.1047619047619046,23,True,0.98,3,True,0.0238095238095238,139,False,True,True
GP1BA,20,13,7,0.96,9,True,0.0769230769230769,36,True,0.75,39,True,0.0219780219780221,145,False,True,True
PAFAH1B1,47,35,12,0.96,10,True,0.0023809523809523,201,False,0.96,6,True,0.0404761904761904,89,False,True,False
MMACHC,25,20,5,0.95,12,True,0.1600000000000001,9,True,0.96,5,True,0.13,15,True,True,True
STING1,17,5,12,0.94,15,True,0.1166666666666666,19,True,0.94,10,True,0.2333333333333332,3,True,True,True
SOX5,28,16,12,0.9,19,True,0.0364583333333333,70,False,1.0,2,True,0.0572916666666667,55,False,True,False
ROBO4,25,6,19,0.89,21,True,0.1140350877192981,20,True,1.0,1,True,0.1052631578947368,18,True,True,True
POT1,14,5,9,0.85,30,True,0.0444444444444445,56,False,0.73,44,True,0.0888888888888889,29,True,True,False
KCNH1,73,16,57,0.84,33,True,0.1063596491228069,21,True,0.84,25,True,0.0767543859649122,34,True,True,True
MLH1,189,155,34,0.8300000000000001,35,True,-0.005313092979127,387,False,0.73,43,True,0.0461100569259963,75,False,True,False
COL6A2,95,51,44,0.8200000000000001,38,True,0.0169340463458109,120,False,0.94,8,True,0.032976827094474,112,False,True,False
EMD,15,5,10,0.8,41,True,0.0399999999999999,63,False,0.74,40,True,0.0599999999999999,52,False,True,False
KRIT1,13,5,8,0.8,42,True,0.0250000000000001,87,False,0.89,18,True,0.1000000000000001,20,True,True,False
SOX9,49,30,19,0.8,44,True,0.0859649122807018,30,True,0.72,47,True,0.1350877192982457,13,True,True,True
ADGRG1,21,9,12,0.79,45,True,-0.0092592592592591,400,False,0.93,11,True,0.074074074074074,36,True,True,False
GATA1,26,10,16,0.79,46,True,0.15625,10,True,0.8200000000000001,26,True,0.0437499999999999,82,False,True,True
EZH2,49,27,22,0.99,1,True,0.1717171717171717,6,True,0.34,184,False,0.0033670033670034,281,False,False,True
FOXG1,145,75,70,0.99,2,True,0.1201904761904761,17,True,0.46,133,False,0.003047619047619,284,False,False,True
WDR45,38,16,22,0.99,3,True,0.0170454545454545,119,False,0.46,137,False,0.0710227272727272,40,True,False,False
IRF2BPL,18,5,13,0.98,4,True,0.2307692307692307,1,True,0.0,384,False,0.0,384,False,False,True
FH,106,101,5,0.96,7,True,0.1702970297029703,7,True,0.31,205,False,0.0039603960396039,268,False,False,True
FOXP3,39,17,22,0.96,8,True,0.1524064171122994,11,True,0.5,107,False,0.0481283422459892,72,False,False,True
SLC4A1,27,19,8,0.96,11,True,0.0394736842105263,67,False,0.0,438,False,0.0,438,False,False,False
TFE3,21,11,10,0.95,13,True,0.1818181818181818,5,True,0.0,448,False,0.0,448,False,False,True
PTPN11,99,91,8,0.94,14,True,0.0865384615384614,29,True,0.39,158,False,0.0054945054945054,256,False,False,True
CNOT3,16,8,8,0.93,16,True,0.125,15,True,0.24,231,False,0.015625,180,False,False,True
GNAO1,66,52,14,0.93,17,True,0.0151098901098901,130,False,0.38,165,False,0.0123626373626373,207,False,False,False
COL10A1,44,18,26,0.91,18,True,0.034188034188034,72,False,0.28,217,False,0.0064102564102564,250,False,False,False
SPG7,24,16,8,0.9,20,True,0.0625,44,True,0.48,123,False,0.015625,181,False,False,True
EBF3,35,30,5,0.87,22,True,0.0266666666666667,85,False,0.5700000000000001,82,False,0.02,155,False,False,False
FUS,21,14,7,0.87,23,True,0.0510204081632653,51,False,0.0,359,False,0.0,359,False,False,False
PCYT1A,20,6,14,0.87,24,True,0.2261904761904761,2,True,0.0,414,False,0.0,414,False,False,True
PDE4D,22,13,9,0.87,25,True,0.1623931623931623,8,True,0.0,415,False,0.0,415,False,False,True
TUBB2A,34,25,9,0.87,26,True,0.0799999999999999,35,True,0.4,155,False,0.0666666666666666,46,True,False,True
AR,128,99,29,0.86,27,True,0.0149773598049461,132,False,0.0,320,False,0.0,320,False,False,False
DCLRE1C,25,13,12,0.86,28,True,-0.0705128205128204,463,False,0.66,59,False,0.0448717948717949,79,False,False,False
SPAST,137,123,14,0.86,29,True,0.0394889663182346,66,False,0.11,281,False,0.0005807200929152,304,False,False,False
RALA,14,8,6,0.85,31,True,-0.1041666666666667,465,False,0.65,64,False,0.0625,50,False,False,False
AFG3L2,27,20,7,0.84,32,True,0.0857142857142856,31,True,0.5,104,False,0.0571428571428571,56,False,False,True
MAPT,36,13,23,0.8300000000000001,34,True,0.0133779264214047,140,False,0.0,398,False,0.0,398,False,False,False
PRKAG2,27,17,10,0.8300000000000001,36,True,0.0529411764705882,47,True,0.0,424,False,0.0,424,False,False,True
ACTN4,19,9,10,0.8200000000000001,37,True,0.0333333333333332,73,False,0.71,48,False,0.0888888888888889,28,True,False,False
GARS1,28,17,11,0.8200000000000001,39,True,0.1390374331550802,14,True,0.42,144,False,0.016042780748663,175,False,False,True
KCNC3,13,5,8,0.8200000000000001,40,True,0.15,12,True,0.32,201,False,0.0249999999999999,137,False,False,True
RLIM,15,7,8,0.8,43,True,0.125,16,True,0.0,427,False,0.0,427,False,False,True
SLC6A1,107,53,54,0.79,47,True,0.0436757512229211,59,False,0.28,220,False,0.0034940600978337,278,False,False,False
MLC1,23,17,6,0.77,52,False,0.0686274509803921,39,True,0.7000000000000001,50,False,0.0784313725490196,33,True,False,False
CNGB3,27,7,20,0.73,57,False,0.0214285714285715,102,False,0.79,32,True,0.0499999999999999,69,False,False,False
FOXH1,11,6,5,0.73,58,False,0.0999999999999999,25,True,0.94,9,True,0.0666666666666666,44,True,False,False
