gene,n,n_pathogenic,n_benign,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,esm2_calm_weight,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_independent_calm_signal,esm1b_calm_weight,esm1b_gain_over_protein,esm1b_independent_calm_signal
MEF2C,41,20,21,0.7857142857142858,0.8738095238095238,0.8904761904761904,0.966,0.1023809523809522,0.1214285714285713,0.10476190476190461,0.98,0.0166666666666666,0.016666666666666607
SH3BP2,16,6,10,0.1499999999999999,0.1333333333333333,0.4999999999999999,0.968,0.3166666666666667,0.0833333333333333,0.35,0.97,0.35,0.3666666666666666
SOX5,28,16,12,0.8489583333333333,0.90625,0.9635416666666669,0.8220000000000001,0.1041666666666667,0.03125,0.11458333333333359,0.9,0.03125,0.05729166666666685
CDH1,106,17,89,0.9015201586252478,0.6457369464639788,0.8790482485128883,0.406,-0.037673496364838,-0.038995373430271,-0.022471910112359494,0.898,0.2227362855254461,0.23331130204890949
UBQLN2,11,5,6,0.6333333333333333,0.4333333333333333,0.6333333333333333,0.288,0.0,0.0666666666666666,0.0,0.8860000000000001,0.1333333333333333,0.2
COL6A2,95,51,44,0.962566844919786,0.9518716577540108,0.979946524064171,0.806,0.0147058823529412,0.0053475935828877,0.017379679144385096,0.882,0.0334224598930481,0.028074866310160207
KCNV2,25,11,14,0.987012987012987,0.8246753246753247,0.961038961038961,0.232,0.0,-0.0064935064935065,-0.025974025974025983,0.8699999999999999,0.1038961038961039,0.13636363636363635
PAFAH1B1,47,35,12,0.911904761904762,0.9023809523809524,0.9428571428571428,0.8959999999999999,0.0261904761904762,-0.0047619047619047,0.030952380952380842,0.844,0.0142857142857142,0.04047619047619044
ROBO4,25,6,19,0.4824561403508772,0.5350877192982456,0.6403508771929824,0.778,0.0350877192982456,0.1052631578947368,0.15789473684210525,0.82,0.0263157894736841,0.10526315789473684
KCNH1,73,16,57,0.7675438596491229,0.8135964912280702,0.8651315789473685,0.8460000000000001,0.0997807017543859,0.1074561403508772,0.09758771929824561,0.8160000000000001,0.0592105263157894,0.05153508771929827
IL7R,26,9,17,0.8366013071895424,0.7973856209150326,0.8366013071895425,0.482,-0.0130718954248365,0.0261437908496731,1.1102230246251565e-16,0.808,0.0522875816993464,0.03921568627450989
XPC,16,5,11,1.0,0.8181818181818182,0.9636363636363636,0.0,0.0,0.0363636363636363,-0.036363636363636376,0.794,0.0909090909090908,0.1454545454545454
ZMYND11,24,10,14,0.9285714285714286,0.7214285714285713,0.8571428571428572,0.358,0.0142857142857142,0.0,-0.0714285714285714,0.788,0.1857142857142858,0.1357142857142859
GATA1,26,10,16,0.775,0.8875000000000001,0.93125,0.76,0.1437499999999999,0.1624999999999999,0.15625,0.784,0.0312499999999998,0.043749999999999956
LHCGR,17,12,5,0.8666666666666667,0.9,0.9833333333333334,0.524,0.0333333333333333,-0.0999999999999999,0.1166666666666667,0.784,0.0666666666666666,0.08333333333333337
RARS1,12,7,5,1.0,0.7714285714285714,1.0,0.0,0.0,0.0285714285714285,0.0,0.7699999999999999,0.1714285714285714,0.22857142857142865
PPP2R5D,18,13,5,0.7538461538461538,0.7846153846153846,0.8307692307692308,0.49,0.0461538461538462,0.0461538461538462,0.07692307692307698,0.7580000000000001,0.0153846153846154,0.04615384615384621
UROS,14,8,6,0.8125,0.8333333333333333,0.875,0.708,0.0833333333333333,0.0833333333333333,0.0625,0.756,1.1102230246251563e-16,0.04166666666666674
FOXH1,11,6,5,0.8,0.8333333333333334,0.9,0.584,0.0333333333333333,0.0333333333333333,0.09999999999999998,0.742,0.0,0.06666666666666665
MLH1,189,155,34,0.825237191650854,0.8709677419354839,0.9018975332068312,0.776,0.0603415559772295,-0.0240986717267551,0.07666034155597723,0.734,0.0453510436432637,0.030929791271347318
POT1,14,5,9,0.8444444444444444,0.8222222222222222,0.8444444444444446,0.6799999999999999,0.0222222222222222,0.0,1.1102230246251565e-16,0.73,0.0666666666666666,0.022222222222222365
PCCB,47,42,5,0.8809523809523809,0.8238095238095238,0.8285714285714285,0.152,-0.0095238095238094,-0.0095238095238094,-0.05238095238095242,0.718,-0.0952380952380952,0.004761904761904745
MSH2,341,109,232,0.8604476431509016,0.8470816197405885,0.8890382790256248,0.5900000000000001,0.0472951597595697,-0.0028867447010439,0.028590635874723214,0.708,0.0520404935147105,0.041956659285036335
GP1BA,20,13,7,0.8901098901098901,0.945054945054945,0.967032967032967,0.936,0.065934065934066,0.0879120879120879,0.07692307692307698,0.6980000000000001,-0.0109890109890109,0.02197802197802201
IL11RA,10,5,5,1.0,0.8400000000000001,1.0,0.0,0.0,0.0,0.0,0.6980000000000001,-1.1102230246251563e-16,0.15999999999999992
SOX9,49,30,19,0.8982456140350876,0.8631578947368421,0.9982456140350878,0.7879999999999999,0.0982456140350878,0.0894736842105262,0.1000000000000002,0.6979999999999998,0.1298245614035087,0.1350877192982457
